Player,fbref id,transm id,mv
Pape Abou Cisse,8bc373ea,364234,6000000
Tammy Abraham,f586779e,331726,38000000
Francesco Acerbi,b96b595c,131075,10000000
Marcos Acuna,81442ecb,60410,15000000
Tyler Adams,2b09d998,332705,20000000
Karim Adeyemi,501055d8,496094,10000000
Adrian,f76e6b4e,71271,1000000
Nayef Aguerd,288e1e13,361914,8000000
Sergio Aguero,4d034881,26399,18000000
Manuel Akanji,89ac64a6,284730,30000000
Marley Ake,414e1f69,682032,2500000
Nathan Ake,eaeca114,177476,32000000
Jean-Daniel Akpa-Akpro,fdf4b948,170481,3500000
David Alaba,05439de2,59016,55000000
Jordi Alba,4601e194,69751,20000000
Luis Alberto,5294a83f,128220,45000000
Thiago Alcantara,77e84962,60444,30000000
Danijel Aleksic,d68cb24c,48119,2500000
Carles Alena,6c811eb7,284854,15000000
Trent Alexander-Arnold,cd1acf9d,314353,75000000
Hasan Ali Kaldirim,edd38473,55605,1000000
Alisson,7a2e46a8,105470,60000000
Marcos Alonso,f4290206,112515,12000000
Eder Alvarez Balanta,8ce30c57,265127,4500000
Edson Alvarez,8b3ab7ad,401356,14000000
Jordan Amavi,22721b88,241229,9000000
Mikkel Andersen,63e905bc,42694,200000
Felipe Anderson,9f1893b9,159372,10000000
Mikael Anderson,0a721e85,403673,1500000
Joel Andersson,b5f66351,255469,2000000
Oleksandr Andriyevskyi,4e3f5992,207074,1200000
Angelino,30941e96,277179,35000000
Faustino Anjorin,b105919e,433181,2300000
Marcos Antonio,108fe016,468301,8000000
Antony,99127249,602105,25000000
Youssef El-Arabi,c63f6e46,96533,3000000
Ronald Araujo,2bef2bca,480267,25000000
Ari,30643ce2,38539,600000
Bright Arrey-Mbi,1394bf42,580193,1000000
Sergio Arribas,1e465e70,537762,3000000
Kepa Arrizabalaga,28d596a0,192279,13000000
Marco Asensio,45af8a54,296622,35000000
Majeed Ashimeru,552e00b9,360140,2500000
Sardar Azmoun,10549b49,180337,25000000
Cesar Azpilicueta,53cad200,57500,13000000
Demba Ba,8b683d09,40205,500000
Ousseynou Ba,60c07b31,520815,5000000
Youssouph Badji,6a2b9aee,649035,3500000
Mitchel Bakker,a8567629,361065,10000000
Leonardo Balerdi,7c3ed041,575998,8000000
Tudor Baluta,ed33f42d,433976,2000000
Nicolo Barella,6928979a,255942,65000000
Romario Baro,a4e16ab4,375383,5000000
Wilmar Barrios,8e7f49d3,257668,15000000
Alessandro Bastoni,75b86fb3,315853,60000000
Roko Baturina,c432ba7d,371008,700000
Donny van de Beek,50dc94ce,288255,30000000
Jude Bellingham,57d88cf9,581678,55000000
Dario Benedetto,bef0a7ac,92693,7000000
Laszlo Benes,fe888e39,243188,4000000
Ramy Bensebaini,378825c7,284732,22000000
Rodrigo Bentancur,3b8674e6,354362,35000000
Karim Benzema,70d74ece,18922,25000000
Marcus Berg,b39bf63f,30418,1200000
Mergim Berisha,eb6e14be,307924,10000000
Federico Bernardeschi,ee93c1a9,197300,15000000
Miha Blazic,3cdfc63e,179806,2000000
Daley Blind,691bef82,12282,15000000
Jerome Boateng,2db2fd7b,26485,8500000
Franck Boli,9c2b4382,212630,1100000
Boli Bolingoli-Mbombo,c603ad6a,168156,2200000
Valerii Bondar,7713c72a,396394,3000000
Leonardo Bonucci,52ec54d0,39983,8000000
Endre Botka,2cb77ec6,148810,1000000
Andreas Bouchalakis,1c07b06e,157535,5000000
Yassine Bounou,f6798fc3,207834,18000000
Benjamin Bourigeaud,20e73fac,266359,15000000
Denys Boyko,1e064bfb,91931,1000000
