Player,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
746fec7d,60.0,70.0,85.7,786.67,140.0,40.0,46.67,85.7,13.33,13.33,100.0,3.33,6.67,166.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,3.33
fa274d97,40.43,50.43,80.2,630.87,248.26,24.35,28.26,86.2,12.61,15.22,82.9,2.61,5.22,21.74,0.0,0.13,-0.13,0.43,3.48,0.87,0.43,3.48
e613313c,52.86,63.57,83.1,1189.29,318.39,10.36,11.96,86.6,33.21,37.5,88.6,9.11,13.57,11.98,0.0,0.0,0.0,0.0,2.14,0.0,0.0,2.32
c904f3d5,45.76,53.56,85.4,1014.24,300.0,10.85,12.03,90.1,26.27,28.14,93.4,8.47,12.54,11.46,0.0,0.0,0.0,0.0,1.53,0.0,0.0,1.69
b70bde8f,100.0,110.0,90.9,1650.0,540.0,40.0,40.0,100.0,50.0,50.0,100.0,10.0,20.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
52e101a8,42.0,48.0,87.5,695.0,270.0,18.0,21.0,85.7,23.0,24.0,95.8,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0
e8c0cafd,40.0,45.0,88.9,700.0,95.0,20.0,20.0,100.0,10.0,12.5,80.0,7.5,10.0,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17e3e467,48.09,54.26,88.6,926.6,216.6,22.34,25.32,88.2,16.6,18.09,91.8,8.09,8.94,19.26,0.0,0.0,0.0,0.21,5.32,0.85,0.21,3.4
6421ec64,40.0,51.67,77.4,710.56,190.56,17.22,20.0,86.1,17.22,20.56,83.8,4.44,9.44,26.17,0.0,0.22,-0.22,1.67,3.33,3.33,0.0,5.0
9c94165b,59.46,73.51,80.9,1014.32,449.46,32.43,34.86,93.0,21.08,24.59,85.7,4.86,10.54,12.49,0.27,0.11,0.16,1.62,6.22,1.08,0.81,7.3
a81ed730,39.66,43.45,91.3,735.17,135.86,15.86,16.55,95.8,17.93,19.66,91.2,4.83,6.21,26.83,0.0,0.0,0.0,0.0,2.41,0.69,0.0,2.41
3d2320f7,30.93,36.28,85.3,577.44,71.86,14.19,16.28,87.1,10.23,11.16,91.7,5.35,7.44,16.72,0.0,0.0,0.0,0.0,1.4,0.23,0.0,1.4
