Player,Age,90s,mv,DF,FW,GK,MF
5fcb90ac,24,0.7,1500000,1,0,0,0
b3a712de,28,3.2,10000000,0,1,0,1
d5dafedb,18,1.0,150000,0,0,0,1
042e8a49,24,6.0,65000000,0,1,0,0
5ef3d210,17,0.1,8000000,0,0,0,1
0331786b,24,2.3,1500000,1,0,0,0
6ceef869,34,4.5,1000000,1,0,0,0
fb938d24,27,8.4,30000000,0,1,0,1
01eb744d,25,5.4,40000000,0,1,0,1
45b9b619,25,7.4,30000000,0,1,0,0
93fffbcf,20,1.0,6000000,0,0,1,0
4fa7cb9b,29,2.6,6000000,0,1,0,1
1840e36d,28,12.0,60000000,0,0,1,0
0ef89a37,28,1.5,30000000,0,0,0,1
06f33dc8,25,2.7,2500000,0,1,0,0
0ab1f153,32,6.1,16000000,1,0,0,0
5722eced,20,2.6,7000000,0,1,0,1
4c14af32,19,0.3,300000,0,0,0,1
44eb9093,31,3.4,5000000,1,0,0,0
1ec7e1c5,32,5.8,2000000,1,0,0,0
29c02c9f,21,2.5,12000000,1,0,0,0
db4ed67b,24,5.4,16000000,0,0,0,1
ca45605e,21,2.3,22000000,0,1,0,0
94b2001f,29,6.3,20000000,1,0,0,0
96e0490d,30,1.9,7000000,1,0,0,0
d781d855,19,3.6,70000000,1,0,0,0
e46012d4,29,7.4,100000000,0,1,0,1
2ef7c612,19,5.1,16000000,1,1,0,0
4b77bb89,19,0.2,4000000,0,1,0,1
0be95d34,24,1.5,4500000,0,1,0,1
fe641c1a,28,4.8,15000000,1,0,0,1
6b6cbca4,28,3.5,4300000,1,0,0,0
e7986081,24,0.5,20000000,0,1,0,0
b19db005,23,4.2,50000000,0,1,0,0
e3cceee6,22,4.4,28000000,1,0,0,0
2c44a35d,22,3.8,5000000,0,1,0,1
85686f86,31,1.8,1500000,0,1,0,0
d97f2e8d,23,0.1,3500000,1,0,0,0
5976f83e,19,6.5,30000000,1,0,0,0
19cda00b,32,7.7,20000000,0,1,0,1
fc62f087,24,5.6,25000000,1,0,0,0
9dc96f10,18,0.3,18000000,0,1,0,0
31c69ef1,23,10.8,75000000,1,0,0,0
8104e41e,21,4.6,18000000,1,0,0,1
4a1a9578,23,5.0,18000000,0,1,0,1
4030c7ae,29,6.0,2500000,0,0,1,0
6eee05f1,27,8.0,22000000,1,0,0,0
b5f7d10b,21,6.0,20000000,1,0,0,0
fffea3e5,18,4.5,22000000,0,1,0,1
5526deb1,18,0.1,1000000,0,0,0,1
8954fddc,24,0.7,1000000,1,0,0,0
620922ed,18,0.2,3000000,1,0,0,0
1a992676,26,3.0,20000000,0,1,0,1
c6486b01,22,5.5,6000000,0,1,0,1
60e86875,24,3.1,7500000,0,1,0,1
37e103f8,20,0.2,5000000,0,1,0,0
303636d2,25,4.1,900000,1,0,0,0
e0921a4f,26,2.4,50000000,0,1,0,1
448a3608,31,3.8,11000000,0,1,0,0
f0fc9d0e,32,2.8,700000,0,1,0,0
3bb7b8b4,26,12.0,50000000,0,0,1,0
73d6a176,20,1.0,3200000,0,0,0,1
48035304,23,6.9,28000000,1,0,0,0
0b4f388a,23,3.3,16000000,0,1,0,1
04e17fd5,23,4.3,40000000,0,1,0,0
58dda688,33,4.5,350000,1,0,0,0
980522ec,28,1.1,40000000,0,1,0,1
1c78737d,30,3.0,2500000,0,1,0,1
3f79a1c8,27,1.6,3200000,0,0,0,1
b0616e3d,30,2.0,2500000,1,0,0,0
4352d221,22,1.7,6000000,0,0,0,1
6f3cc2fe,20,0.9,7500000,0,1,0,0
7f3b388c,26,6.2,60000000,1,0,0,1
b7a5bc86,24,3.8,5500000,1,0,0,0
0ba976e4,17,1.8,60000000,0,1,0,0
51a3c4c8,31,4.3,12000000,1,0,0,0
15d0c248,23,2.0,18000000,1,0,0,0
8aafd64f,20,7.8,80000000,0,1,0,1
507c7bdf,25,4.9,90000000,0,0,0,1
f76fdcd2,22,0.2,1500000,0,0,0,1
e08647d6,24,0.1,9000000,0,1,0,0
101da2b5,35,3.8,2000000,0,0,0,1
41f32541,33,5.5,4000000,1,0,0,1
d9d43555,21,0.4,2500000,0,1,0,0
4c370d81,28,3.7,50000000,0,1,0,0
24f59bb2,23,2.9,8000000,1,0,0,0
e288d4b3,29,9.0,13000000,1,0,0,0
ed1e53f3,20,11.8,80000000,0,1,0,1
9a2e0ccc,28,5.1,20000000,0,1,0,1
715e5b0e,27,3.2,8000000,0,1,0,1
a9142dc3,22,0.3,4000000,1,0,0,0
d80b1835,21,0.2,2500000,1,0,0,0
f620b04f,19,2.2,6500000,0,1,0,0
b853e0ad,27,3.8,22000000,0,0,0,1
98d2c2c4,28,5.8,25000000,0,1,0,1
1c90cd29,27,2.0,500000,1,0,0,0
ce30bfc8,26,2.8,15000000,0,0,0,1
72c812f3,30,5.4,15000000,0,0,0,1
2bed3eab,19,2.3,20000000,1,0,0,0
ecb68eea,31,4.2,4000000,0,0,0,1
6be41a31,19,1.1,4500000,0,0,0,1
7ba6d84e,29,5.0,18000000,0,0,1,0
ea0ff634,30,2.2,3000000,0,1,0,1
df10e27c,19,1.1,10000000,0,0,0,1
f521b80a,26,8.0,30000000,1,0,0,0
16ceb862,33,2.9,4000000,0,1,0,0
88e357ef,25,4.0,70000000,0,1,0,1
f0f7f62f,25,3.0,17000000,0,0,1,0
d9b9b71a,26,1.5,3000000,1,0,0,0
7a11550b,23,3.0,30000000,1,0,0,0
6e4df551,32,1.0,9000000,0,1,0,0
6e4df551,32,5.0,9000000,0,1,0,1
bc6f5f06,28,2.2,3000000,1,0,0,0
cecbce23,26,4.0,7000000,0,0,1,0
42dcf26d,30,6.0,7000000,1,0,0,0
cc86b9a3,25,4.8,70000000,0,0,0,1
8b3d765f,34,2.0,350000,0,0,1,0
2d970560,26,6.3,35000000,1,0,0,0
b8e740fb,18,5.9,33000000,0,0,0,1
58eee997,18,2.3,50000000,0,1,0,1
8b298f56,29,2.5,4000000,0,0,0,1
df69b544,29,5.6,60000000,0,1,0,1
8b8e759d,24,4.3,15000000,0,1,0,1
0076ab7f,28,5.5,6000000,1,0,0,1
048a1cbc,26,7.4,40000000,1,0,0,0
7155e3e1,21,1.9,10000000,0,0,0,1
923f4dda,24,3.8,12000000,0,1,0,0
bcb2ccd8,30,8.0,13000000,0,0,1,0
b686f4c0,27,2.3,2800000,0,1,0,1
819b3158,29,10.8,40000000,0,0,0,1
b583aef5,31,6.0,2400000,0,0,1,0
1f44ac21,20,7.8,130000000,0,1,0,0
8696bc90,24,3.3,10000000,0,1,0,1
92432bc6,22,4.7,24000000,1,0,0,1
e42d61c7,21,4.0,60000000,1,0,0,0
8ff2354e,28,2.0,14000000,1,0,0,0
74419746,36,6.0,2500000,0,0,1,0
a3b952f8,35,4.0,250000,0,0,1,0
bfc5768b,30,1.7,1500000,0,1,0,1
3b333ac3,26,5.9,18000000,1,0,0,0
fed7cb61,21,8.7,70000000,0,1,0,1
a39bb753,29,3.0,40000000,0,1,0,0
50871bcc,27,4.9,27000000,0,1,0,0
169fd162,24,1.0,11000000,0,1,0,1
fecd43a3,28,4.3,1000000,1,0,0,0
e5a76dfe,23,1.0,22000000,0,0,1,0
935e6b8f,30,4.0,20000000,1,0,0,1
0a89e877,23,1.3,12000000,1,0,0,1
f45f9427,26,2.5,4000000,1,0,0,1
f36d5624,18,1.1,8000000,0,1,0,1
555f3a0b,25,3.9,35000000,1,0,0,0
c3ee18ef,24,7.7,45000000,1,0,0,0
436a9dd0,30,6.0,13000000,0,0,0,1
a8542814,30,3.3,7000000,0,0,0,1
dfb6490a,29,0.7,3500000,0,1,0,0
2e7ff968,32,6.0,1700000,0,0,1,0
875898c7,26,5.4,4000000,1,0,0,0
2903a856,28,4.8,16000000,0,1,0,0
12aa7661,36,4.8,600000,1,0,0,0
3f65d5ce,25,1.0,1200000,0,0,1,0
15f3ec41,19,3.8,32000000,1,1,0,0
05d548d8,31,8.8,12000000,1,0,0,0
d14229f3,26,1.0,6000000,0,1,0,1
5042e5c2,36,0.4,800000,0,1,0,1
01204d46,29,1.0,700000,1,0,0,0
43b78598,27,2.7,40000000,0,1,0,0
34caa4b3,24,1.7,8000000,0,1,0,0
03622183,31,0.0,3500000,0,1,0,0
5cb1d026,33,4.3,1000000,0,0,0,1
68252d6d,32,3.1,6000000,0,1,0,1
4431aed2,30,4.6,38000000,0,1,0,0
4c2fa917,19,0.2,250000,0,0,0,1
d1f48bfc,32,4.0,900000,0,1,0,1
5715bb71,19,0.5,1000000,0,1,0,1
a0b4bb3e,28,1.1,18000000,0,1,0,1
c931d9f9,22,0.4,18000000,0,1,0,1
40676b27,26,1.0,350000,1,0,0,0
1265a93a,20,6.3,40000000,1,0,0,0
34b54da7,30,0.6,1400000,1,0,0,0
b66315ae,23,3.0,60000000,0,1,0,0
4fb9c88f,19,4.5,30000000,0,0,0,1
1bacc518,23,6.5,90000000,1,0,0,1
abb3bb95,29,4.2,10000000,0,1,0,0
2a0c8ba4,26,4.5,30000000,0,0,0,1
45db685d,28,11.4,40000000,0,0,0,1
178ae8f8,23,6.0,45000000,0,1,0,0
4d8cd038,22,0.6,20000000,0,1,0,0
7111d552,20,7.0,40000000,0,1,0,0
dba67bc4,32,5.1,2500000,0,0,0,1
d29202c2,25,5.1,3000000,0,1,0,0
2d61d13a,20,3.5,25000000,1,0,0,0
d2800f47,25,5.4,11000000,0,0,0,1
091c86e2,19,0.1,450000,0,0,0,1
81d3318f,24,2.0,6500000,0,0,0,1
cc77354e,20,4.3,37000000,0,0,0,1
768b28d0,30,0.2,1000000,0,0,0,1
b825a650,29,4.1,10000000,0,0,0,1
b9fbae28,29,7.9,55000000,0,0,0,1
0eac2f24,19,0.1,150000,1,0,0,0
1bd5735a,28,2.5,5000000,1,0,0,0
b0b902c8,25,3.1,7000000,1,0,0,0
3d50bcdb,20,4.9,35000000,0,1,0,0
dc52c72f,26,6.0,5000000,1,0,0,0
51dbeea9,23,0.8,25000000,1,0,0,0
f25c8e3a,25,1.6,32000000,0,0,0,1
62d7ef38,21,2.0,2500000,0,0,1,0
2fabebc0,33,6.0,1500000,0,0,1,0
14e8fe86,25,3.6,2200000,0,0,0,1
862fa9fb,27,3.3,3000000,1,0,0,0
49296448,25,6.8,90000000,0,0,0,1
aef6e670,24,10.9,40000000,1,0,0,0
15fd5593,27,5.0,17000000,0,0,0,1
f4ceb85b,26,0.6,4500000,1,0,0,0
ca8033cb,24,2.0,27000000,1,0,0,0
4c3a6744,21,1.7,14000000,0,1,0,1
19a967ab,18,1.5,3000000,0,1,0,0
6747869d,20,4.5,12500000,0,1,0,0
9fc2531b,27,0.3,4000000,0,1,0,0
55126f3b,28,7.4,60000000,0,0,0,1
eda40760,34,1.0,1500000,1,0,0,0
5ed9b537,21,5.3,35000000,1,0,0,0
f38cc3b3,21,3.0,2000000,1,0,0,0
1f3afdcb,19,5.0,13000000,1,0,0,0
866c67e9,17,0.5,500000,1,0,0,0
4d1666ff,21,5.7,60000000,1,0,0,0
b79d8e93,26,1.9,800000,1,0,0,0
79c0821a,26,6.7,45000000,0,0,0,1
9d60028d,24,2.4,5000000,0,0,0,1
8690eef7,23,0.6,1300000,0,1,0,1
496aeede,29,6.9,7000000,0,0,0,1
43cd8b69,27,0.8,4000000,0,1,0,0
6ce1f46f,30,10.7,40000000,0,0,0,1
a802405e,22,1.8,1500000,1,0,0,0
580d52dd,30,4.0,15000000,0,0,0,1
292a652a,29,1.0,4000000,1,0,0,0
c01f247a,22,4.0,2500000,0,0,0,1
df3cda47,20,3.0,40000000,0,1,0,1
41e7ef1c,27,4.2,12000000,1,0,0,0
d4e93bab,27,4.9,8000000,0,1,0,1
ebc56869,27,2.0,4000000,0,1,0,1
22798128,23,2.5,2000000,0,0,0,1
4aea5077,27,7.6,12500000,1,0,0,0
c283ddef,23,0.1,6000000,0,1,0,0
864db10a,29,0.1,800000,1,0,0,0
8e034340,21,3.3,22000000,0,1,0,1
119b9a8e,26,3.1,45000000,1,0,0,0
016ff750,24,2.7,10000000,1,1,0,0
02caf6e0,26,3.6,21000000,1,0,0,0
7cf431a5,24,2.4,4000000,0,1,0,1
c4987edc,21,2.0,10000000,1,0,0,0
4c78b5ed,33,3.9,3500000,0,0,0,1
4dbd0916,24,2.1,25000000,1,0,0,1
4f28a6ff,25,6.2,25000000,1,0,0,0
8d78e732,31,5.7,60000000,0,1,0,0
b1dae700,22,0.4,2000000,0,1,0,1
d6e53a3a,20,4.5,75000000,1,0,0,0
f5deef4c,26,4.4,24000000,1,0,0,0
49b45985,22,0.8,1500000,0,0,0,1
02c15616,25,7.3,80000000,1,0,0,1
ed9f7cfe,22,4.2,25000000,1,0,0,0
1a2935f6,31,4.3,10000000,1,0,0,0
0176f037,31,4.1,650000,1,0,0,0
921f6058,30,2.3,10000000,1,0,0,0
520c318f,29,4.2,5000000,0,1,0,0
5eae500a,27,4.9,100000000,0,1,0,0
7fd58fe3,34,1.2,1000000,1,0,0,0
22aba139,25,0.5,500000,1,0,0,0
d4133fa1,30,5.9,5000000,0,0,0,1
922da988,24,5.0,2500000,0,1,0,1
6d7e4b06,20,1.0,600000,0,1,0,1
b088363d,21,2.2,1500000,0,0,0,1
d8931174,27,5.0,45000000,1,0,0,0
892d5bb1,29,9.0,42000000,0,1,0,1
73fc8cc3,29,1.0,1200000,0,1,0,1
6853490f,23,2.7,22000000,0,1,0,1
48d5bd33,27,1.5,30000000,0,0,0,1
e27fdbca,26,8.3,7000000,1,0,0,0
1d2d5cc8,35,6.0,2000000,0,0,1,0
c691bfe2,28,7.9,85000000,0,1,0,0
e54a9890,22,0.9,12000000,1,0,0,0
603116a7,32,1.8,7500000,1,0,0,0
853b7c48,32,9.3,9000000,0,0,1,0
05a84d52,29,8.2,10000000,0,1,0,0
f0da930c,25,3.7,60000000,1,0,0,0
5c4dc0ff,26,1.2,10000000,0,1,0,0
a3b0ed18,34,6.0,1000000,0,0,1,0
82a39b66,20,0.9,4000000,0,1,0,1
c864997f,26,0.0,700000,0,1,0,0
9139bb12,32,4.7,5000000,0,0,0,1
d5f2f82b,26,9.1,75000000,1,0,0,1
8b788c01,24,4.7,45000000,0,1,0,0
468fdbad,30,1.0,2500000,0,0,0,1
7f97771d,31,2.1,5000000,0,0,0,1
f7036e1c,22,4.5,80000000,0,1,0,0
bac46a10,22,3.3,23000000,1,0,0,0
f3945e07,23,1.1,6000000,0,1,0,0
675b0427,32,5.0,1200000,1,0,0,0
d4535821,27,8.0,10000000,1,0,0,0
9d689a5b,26,3.2,6000000,0,1,0,1
55abe554,27,5.9,10000000,1,0,0,0
29733c72,32,0.7,4000000,0,1,0,0
eb7822d7,31,2.5,8000000,1,0,0,1
b217ef29,28,1.9,18000000,1,0,0,0
1adcf39e,24,3.3,11000000,1,0,0,0
0e6bc38c,31,4.3,3500000,0,1,0,0
005ca692,23,4.1,7000000,0,0,0,1
b74277a0,22,5.3,17000000,1,0,0,0
42fd9c7f,21,10.0,160000000,0,1,0,0
e76cb9cc,25,10.3,16000000,1,0,0,0
01c3aff5,21,4.5,25000000,0,0,0,1
d93c2511,23,3.8,35000000,0,0,0,1
0a6dbbf7,27,2.0,7000000,1,0,0,0
48b3dd60,23,3.7,40000000,0,0,0,1
5271c8f1,26,0.9,20000000,1,0,0,0
33887998,28,12.0,25000000,0,0,1,0
3cefcaef,25,10.7,50000000,1,0,0,0
d70ce98e,33,6.0,80000000,0,1,0,1
e162b013,28,3.9,12000000,1,0,0,0
d436eb94,32,5.0,8000000,0,0,1,0
4e6dbac4,25,6.5,70000000,0,0,0,1
2784f898,22,5.3,40000000,1,0,0,0
2f90f6b8,34,4.0,3000000,0,0,0,1
f833a830,25,2.1,12000000,0,1,0,1
056269d7,21,2.7,15000000,1,0,0,0
a9aa0d1d,24,0.3,15000000,0,1,0,1
807e869a,24,5.1,12000000,0,0,0,1
6025fab1,34,10.1,10000000,0,0,0,1
b62878a5,19,0.1,15000000,0,1,0,0
608f2092,27,1.1,2000000,1,0,0,0
c43e5e7e,33,1.8,2000000,0,1,0,0
129af0db,27,6.6,45000000,0,1,0,0
5fd5e542,20,5.0,7000000,1,0,0,0
f4c69aa6,17,0.1,25000000,0,0,0,1
dfb50e5c,22,2.2,3000000,1,1,0,0
6ce43701,15,0.4,18000000,0,1,0,0
9674002f,21,8.4,75000000,0,1,0,1
90463dba,18,0.5,2500000,0,0,0,1
ac73ec79,22,6.1,25000000,1,0,0,0
3c6089ab,30,7.0,30000000,0,1,0,1
eb2fe5b6,29,3.9,30000000,0,1,0,0
0cadc46d,26,2.0,9000000,0,1,0,0
91899ca8,29,0.3,2000000,1,0,0,0
dca7b0fb,21,0.6,800000,1,0,0,1
2c0558b8,17,2.6,38000000,0,0,0,1
1d5cab82,22,5.8,13000000,0,1,0,1
30d4a2e5,21,3.9,17000000,1,0,0,0
c459a650,23,1.9,13000000,1,0,0,1
2946f9a1,30,8.0,10000000,1,0,0,0
4b6960d2,33,1.1,800000,1,0,0,1
1f9328da,32,0.0,5000000,0,0,0,1
be60b6f4,25,0.8,3500000,0,1,0,1
3f10bd22,34,5.1,3000000,1,0,0,0
ecada4fc,33,12.0,12000000,0,0,1,0
bcfc4473,23,0.1,2500000,0,0,0,1
4f1e6a0b,23,3.4,27000000,0,1,0,0
0880e10b,18,1.0,1000000,0,0,1,0
a9dc785c,31,3.0,6000000,0,0,1,0
8778c910,34,8.0,18000000,0,0,1,0
36a59ba4,23,7.8,35000000,0,0,0,1
69384e5d,28,8.3,100000000,0,1,0,1
36a79857,26,5.1,2800000,0,1,0,1
2054d037,25,1.1,4500000,0,1,0,0
c14bc029,25,5.1,40000000,0,0,0,1
39769cff,23,5.0,8500000,1,0,0,0
7c56da38,22,6.5,43000000,0,1,0,1
afb0c500,23,2.0,6000000,0,0,1,0
6043997c,23,2.0,3500000,1,0,0,0
c7526c18,31,4.7,8000000,0,0,0,1
ee8508c0,27,8.0,70000000,0,0,1,0
a08b974a,26,5.0,40000000,1,1,0,0
1d1691ad,24,0.4,10000000,1,0,0,0
ca607d59,20,0.6,6500000,0,1,0,1
d125f22f,22,0.3,2800000,0,1,0,1
63b9cc6d,24,0.5,2500000,0,1,0,1
947e036f,28,8.2,19000000,0,0,0,1
ae44e8e2,22,6.5,45000000,0,1,0,1
fa73ccc7,25,4.5,3500000,0,1,0,1
e9c0c1b2,24,6.0,30000000,0,0,1,0
e81f0356,22,0.5,3500000,1,0,0,0
2944f86f,22,5.6,6000000,0,0,0,1
20030c06,27,3.6,16000000,1,0,0,0
43a166b4,25,2.3,12000000,0,1,0,0
28b1f3ce,25,7.8,24000000,0,1,0,1
38c7feef,26,0.3,18000000,0,1,0,1
31114001,22,4.9,3500000,0,0,0,1
3ef0af0d,27,3.5,5000000,0,0,0,1
dc7f8a28,18,0.1,500000,0,0,0,1
e0bc6fdc,25,2.4,12000000,1,0,0,0
a9be27f2,24,5.8,1800000,1,0,0,0
dff153a4,26,7.4,20000000,0,0,0,1
ed5886d2,35,2.7,1000000,1,0,0,1
e599253a,25,3.1,23000000,0,0,0,1
5c899683,22,1.3,2500000,1,1,0,0
14e05913,19,1.0,250000,0,0,1,0
f7223718,27,4.7,6500000,1,0,0,0
00672021,29,1.8,8000000,0,0,0,1
ab1b205d,30,0.9,3100000,0,1,0,1
f3fa599d,25,5.3,1500000,1,0,0,0
45a03961,24,6.3,35000000,1,0,0,0
58ae47b2,33,3.8,5000000,0,1,0,1
0d9b2d31,17,5.5,70000000,0,1,0,1
f8ce97ca,17,0.1,4000000,1,0,0,0
6b915aa1,28,3.6,3500000,0,1,0,1
c906ce0f,37,6.3,1000000,1,0,0,0
6639e500,24,1.5,8000000,0,1,0,1
8fd9996f,28,8.7,20000000,1,0,0,1
6fe90922,31,2.7,10000000,1,1,0,0
780e3631,23,5.4,20000000,0,0,0,1
17145c90,29,0.8,3500000,1,0,0,0
83e1f40e,23,0.2,500000,0,1,0,1
515ebe8d,23,3.0,8000000,1,0,0,0
08aa9cd1,21,0.1,12000000,1,0,0,0
adfc9123,33,2.6,10000000,1,0,0,0
fe2db476,35,2.5,750000,1,0,0,0
ad6df2d5,30,5.5,20000000,0,0,0,1
bc6bd723,27,6.0,22000000,0,1,0,0
867239d3,27,2.0,60000000,0,0,0,1
b1579026,25,2.1,900000,1,0,0,0
67f0703d,21,4.6,3500000,1,0,0,0
d2416c2e,26,5.6,21000000,0,1,0,0
256ac8f4,19,2.0,1200000,1,0,0,0
b182a240,28,2.8,15000000,1,1,0,0
f090a37a,20,1.0,18000000,0,1,0,1
1bf33a9a,21,4.7,50000000,0,1,0,1
34c3b935,36,1.0,1000000,0,0,1,0
8794e251,25,5.6,30000000,0,0,0,1
0630eb63,24,1.0,6000000,0,1,0,0
53de807a,33,1.5,2000000,1,0,0,0
9a1f2e1c,30,5.7,2700000,1,0,0,0
d003e213,34,6.0,1000000,1,0,0,0
0c2ac3cb,27,1.4,15000000,0,0,0,1
9686fc54,31,3.0,300000,1,0,0,0
89f951b5,32,5.1,10000000,0,0,0,1
47fd5136,30,5.2,6000000,1,0,0,0
7483d9f9,28,6.0,3000000,1,0,0,0
8a1d7b51,25,5.5,6000000,1,0,0,1
08511d65,34,4.7,10000000,1,0,0,0
ef619b0b,29,4.0,14000000,0,0,0,1
1dbfae2d,22,2.6,2000000,0,1,0,1
a1d5bd30,22,4.6,85000000,0,1,0,0
e358587b,37,7.0,800000,0,0,1,0
6b21b7b5,18,0.2,16000000,0,1,0,1
3376a776,25,2.4,3000000,1,0,0,0
36a3ff67,31,7.7,13000000,0,1,0,1
7fa4e703,17,5.1,38000000,0,1,0,1
54f5ce34,25,3.0,3000000,1,0,0,0
0a3d6d2b,20,1.4,7500000,1,0,0,0
733e7ad8,27,3.6,5500000,0,0,0,1
335fa267,28,2.0,18000000,1,0,0,1
2e4f5f03,26,8.4,65000000,1,0,0,0
da27e268,23,1.7,10000000,0,0,0,1
6434f10d,24,8.7,70000000,0,0,0,1
3814b753,25,2.0,3000000,0,1,0,1
20df3aaf,23,1.4,3000000,0,0,0,1
19709006,22,3.1,12000000,0,1,0,1
8f5e92a6,19,3.6,35000000,0,1,0,0
a3d94a58,22,6.9,30000000,1,0,0,0
