,Player,Age,90s,mv,DF,FW,GK,MF,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
504,dff153a4,26,7.4,20000000,0,0,0,1,56.89,62.7,90.7,1016.08,317.97,25.54,27.3,93.6,25.14,26.08,96.4,5.68,8.11,70.0,0.14,0.07,0.07,0.27,2.97,0.54,0.0,3.24
505,ed5886d2,35,2.7,1000000,1,0,0,1,32.59,37.04,88.0,598.15,217.41,14.81,16.67,88.9,12.96,13.7,94.6,4.07,5.56,73.3,0.0,0.0,0.0,0.37,1.48,0.0,0.0,2.59
506,e599253a,25,3.1,23000000,0,0,0,1,28.71,38.06,75.4,508.39,146.77,11.94,14.52,82.2,13.23,16.45,80.4,2.9,4.19,69.2,0.32,0.35,-0.03,1.29,3.23,0.97,0.0,3.23
507,5c899683,22,1.3,2500000,1,1,0,0,47.69,56.92,83.8,756.15,229.23,26.15,27.69,94.4,16.15,18.46,87.5,3.85,6.92,55.6,0.0,0.0,0.0,0.0,1.54,1.54,0.0,3.08
508,14e05913,19,1.0,250000,0,0,1,0,23.0,31.0,74.2,519.0,213.0,6.0,6.0,100.0,11.0,11.0,100.0,5.0,13.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,f7223718,27,4.7,6500000,1,0,0,0,46.6,55.32,84.2,955.96,326.81,15.32,16.6,92.3,22.55,24.47,92.2,7.87,12.98,60.7,0.0,0.02,-0.02,0.21,2.55,0.64,0.21,2.55
510,00672021,29,1.8,8000000,0,0,0,1,51.67,62.78,82.3,925.56,229.44,22.78,26.11,87.2,23.33,27.22,85.7,5.56,8.33,66.7,0.0,0.0,0.0,0.0,7.22,0.0,0.0,3.89
511,ab1b205d,30,0.9,3100000,0,1,0,1,51.11,61.11,83.6,765.56,258.89,24.44,27.78,88.0,24.44,25.56,95.7,1.11,6.67,16.7,0.0,0.0,0.0,0.0,2.22,1.11,0.0,4.44
512,f3fa599d,25,5.3,1500000,1,0,0,0,34.15,48.68,70.2,557.36,312.26,18.49,21.89,84.5,11.51,16.04,71.8,3.4,6.98,48.6,0.0,0.02,-0.02,0.19,4.34,0.57,0.38,3.96
513,45a03961,24,6.3,35000000,1,0,0,0,56.35,69.21,81.4,1025.71,312.7,24.6,27.78,88.6,24.13,29.37,82.2,6.51,9.84,66.1,0.32,0.08,0.24,0.63,3.49,0.95,0.79,4.13
514,58ae47b2,33,3.8,5000000,0,1,0,1,33.68,48.16,69.9,603.68,147.11,17.37,22.11,78.6,11.32,13.95,81.1,4.47,10.53,42.5,0.0,0.24,-0.24,3.16,1.32,1.32,0.79,1.58
515,0d9b2d31,17,5.5,70000000,0,1,0,1,53.09,60.73,87.4,890.36,153.45,27.45,30.36,90.4,18.73,20.55,91.2,5.45,6.73,81.1,0.18,0.05,0.13,0.55,3.64,2.0,0.0,4.55
516,f8ce97ca,17,0.1,4000000,1,0,0,0,60.0,80.0,75.0,940.0,280.0,30.0,50.0,60.0,30.0,30.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
517,6b915aa1,28,3.6,3500000,0,1,0,1,22.78,36.67,62.1,351.67,89.17,13.61,17.5,77.8,7.78,11.67,66.7,1.39,4.44,31.3,0.0,0.06,-0.06,0.83,0.83,0.56,0.28,1.94
518,c906ce0f,37,6.3,1000000,1,0,0,0,33.33,41.11,81.1,774.13,216.51,8.1,9.05,89.5,18.1,19.52,92.7,6.83,11.75,58.1,0.0,0.03,-0.03,0.32,1.27,0.0,0.0,1.27
519,6639e500,24,1.5,8000000,0,1,0,1,35.33,48.67,72.6,660.67,220.0,16.67,22.0,75.8,12.67,16.0,79.2,6.0,10.0,60.0,0.67,0.33,0.33,2.67,3.33,1.33,0.67,3.33
520,8fd9996f,28,8.7,20000000,1,0,0,1,44.71,49.54,90.3,910.69,233.45,14.94,15.63,95.6,22.41,23.79,94.2,6.9,9.2,75.0,0.0,0.01,-0.01,0.11,1.72,0.11,0.0,1.15
521,6fe90922,31,2.7,10000000,1,1,0,0,27.78,42.22,65.8,517.78,139.63,11.48,13.7,83.8,10.37,14.44,71.8,4.44,10.0,44.4,0.0,0.15,-0.15,1.48,1.48,1.11,0.74,2.22
522,780e3631,23,5.4,20000000,0,0,0,1,45.37,53.15,85.4,772.04,182.59,22.78,25.37,89.8,16.67,19.07,87.4,5.0,5.93,84.4,0.0,0.04,-0.04,0.37,2.96,0.37,0.0,3.15
523,17145c90,29,0.8,3500000,1,0,0,0,26.25,32.5,80.8,452.5,191.25,12.5,15.0,83.3,11.25,12.5,90.0,2.5,3.75,66.7,0.0,0.62,-0.62,1.25,0.0,0.0,0.0,6.25
524,83e1f40e,23,0.2,500000,0,1,0,1,20.0,45.0,44.4,230.0,95.0,10.0,20.0,50.0,5.0,20.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0
525,515ebe8d,23,3.0,8000000,1,0,0,0,49.0,55.67,88.0,975.33,375.0,17.67,19.0,93.0,24.67,26.0,94.9,6.67,10.33,64.5,0.0,0.0,0.0,0.0,4.67,0.33,0.0,6.67
526,08aa9cd1,21,0.1,12000000,1,0,0,0,20.0,20.0,100.0,410.0,0.0,10.0,10.0,100.0,10.0,10.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,adfc9123,33,2.6,10000000,1,0,0,0,75.0,76.54,98.0,1618.08,426.15,18.85,18.85,100.0,43.46,44.62,97.4,11.54,11.92,96.8,0.0,0.04,-0.04,0.77,6.54,0.0,0.0,4.62
528,fe2db476,35,2.5,750000,1,0,0,0,66.4,76.0,87.4,1414.0,404.0,21.2,24.0,88.3,34.8,37.6,92.6,10.4,13.6,76.5,0.0,0.0,0.0,0.0,8.8,0.0,0.0,6.0
529,ad6df2d5,30,5.5,20000000,0,0,0,1,100.55,109.64,91.7,1627.82,394.55,53.09,56.18,94.5,37.82,40.55,93.3,7.45,10.18,73.2,0.0,0.07,-0.07,1.45,12.0,1.45,0.0,7.82
530,bc6bd723,27,6.0,22000000,0,1,0,0,19.33,26.67,72.5,342.17,78.17,10.0,12.5,80.0,6.83,9.17,74.5,2.0,2.83,70.6,0.33,0.15,0.18,1.33,1.67,2.17,0.17,2.67
531,867239d3,27,2.0,60000000,0,0,0,1,44.5,56.0,79.5,827.0,263.0,20.5,25.0,82.0,18.5,21.5,86.0,5.0,7.5,66.7,1.0,0.15,0.85,2.5,4.0,2.5,0.0,7.0
532,b1579026,25,2.1,900000,1,0,0,0,27.62,33.81,81.7,520.48,216.67,8.1,9.05,89.5,15.71,18.57,84.6,2.86,4.76,60.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,1.9
533,67f0703d,21,4.6,3500000,1,0,0,0,58.91,69.78,84.4,1375.43,446.74,13.04,15.22,85.7,31.52,34.57,91.2,13.91,18.91,73.6,0.0,0.0,0.0,0.0,2.17,0.0,0.0,1.09
534,d2416c2e,26,5.6,21000000,0,1,0,0,20.71,29.46,70.3,268.75,48.04,13.04,16.61,78.5,5.0,7.5,66.7,0.89,1.07,83.3,0.18,0.09,0.09,0.89,1.07,0.54,0.0,1.07
535,256ac8f4,19,2.0,1200000,1,0,0,0,41.0,53.0,77.4,936.5,296.0,8.0,8.5,94.1,23.0,25.5,90.2,9.0,18.0,50.0,0.0,0.05,-0.05,0.5,1.5,0.0,0.0,2.0
536,b182a240,28,2.8,15000000,1,1,0,0,34.29,41.79,82.1,494.64,118.57,17.14,22.14,77.4,13.21,15.36,86.0,1.79,1.79,100.0,0.36,0.07,0.29,0.36,1.79,1.43,0.0,3.57
537,f090a37a,20,1.0,18000000,0,1,0,1,109.0,119.0,91.6,1815.0,315.0,58.0,60.0,96.7,38.0,42.0,90.5,12.0,12.0,100.0,0.0,0.5,-0.5,5.0,13.0,5.0,0.0,9.0
538,1bf33a9a,21,4.7,50000000,0,1,0,1,29.79,37.87,78.7,441.91,95.11,17.87,20.43,87.5,8.3,10.21,81.3,2.34,3.4,68.8,0.43,0.38,0.04,1.91,1.49,0.85,0.0,2.98
539,34c3b935,36,1.0,1000000,0,0,1,0,22.0,26.0,84.6,680.0,438.0,4.0,4.0,100.0,9.0,9.0,100.0,9.0,13.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,8794e251,25,5.6,30000000,0,0,0,1,55.54,61.79,89.9,1042.86,231.96,21.79,23.21,93.8,25.0,27.32,91.5,6.96,8.21,84.8,0.18,0.23,-0.05,1.25,5.54,1.07,0.18,4.29
541,0630eb63,24,1.0,6000000,0,1,0,0,15.0,22.0,68.2,250.0,63.0,8.0,9.0,88.9,6.0,10.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,53de807a,33,1.5,2000000,1,0,0,0,42.0,45.33,92.6,901.33,417.33,14.0,14.0,100.0,20.0,23.33,85.7,7.33,7.33,100.0,0.0,0.0,0.0,0.0,5.33,1.33,0.67,2.0
