,Player,Age,90s,mv,DF,FW,GK,MF,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
30,4e3f5992,26,1.4,1200000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
31,30941e96,23,7.0,35000000,1,0,0,0,0.43,1.71,0.71,41.7,1.73,0.72,0.25,0.6,14.9,0.0,0.0,0.0,0.23,0.23,0.13,0.2,0.2
32,b105919e,18,0.9,2300000,0,1,0,0,0.0,2.22,0.0,0.0,2.28,0.0,0.0,,14.2,0.0,0.0,0.0,0.11,0.11,0.06,-0.11,-0.11
33,108fe016,20,2.7,8000000,0,0,0,1,0.0,0.37,0.37,100.0,0.37,0.37,0.0,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
34,99127249,20,4.0,25000000,0,1,0,0,0.25,2.25,1.75,77.8,2.26,1.76,0.11,0.14,19.7,0.0,0.0,0.0,0.18,0.18,0.07,0.08,0.08
35,c63f6e46,33,4.7,3000000,0,1,0,0,0.0,1.49,0.64,42.9,1.49,0.64,0.0,0.0,13.3,0.0,0.0,0.0,0.17,0.17,0.12,-0.17,-0.17
36,2bef2bca,21,1.6,25000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
37,30643ce2,34,0.3,600000,0,1,0,0,0.0,6.67,3.33,50.0,7.2,3.6,0.0,0.0,13.7,0.0,0.0,0.0,0.67,0.67,0.08,-0.67,-0.67
38,1394bf42,17,0.7,1000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
39,1e465e70,18,0.4,3000000,0,1,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
40,28d596a0,25,1.0,13000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
41,45af8a54,24,6.9,35000000,0,1,0,0,0.29,3.33,1.59,47.8,3.34,1.6,0.09,0.18,17.0,0.14,0.0,0.0,0.36,0.36,0.13,-0.07,-0.07
42,552e00b9,22,0.5,2500000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
43,10549b49,25,3.2,25000000,0,1,0,0,0.0,2.5,0.31,12.5,2.5,0.31,0.0,0.0,11.3,0.0,0.0,0.0,0.25,0.25,0.11,-0.25,-0.25
44,53cad200,30,10.7,13000000,1,0,0,0,0.0,0.37,0.09,25.0,0.37,0.09,0.0,0.0,9.1,0.0,0.0,0.0,0.04,0.04,0.11,-0.04,-0.04
45,8b683d09,35,3.6,500000,0,1,0,0,0.28,2.5,0.83,33.3,2.47,0.82,0.11,0.33,19.4,0.0,0.0,0.0,0.28,0.28,0.11,0.0,0.0
46,60c07b31,24,2.1,5000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
47,6a2b9aee,18,0.4,3500000,0,1,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
48,a8567629,20,4.6,10000000,1,0,0,0,0.0,0.65,0.22,33.3,0.66,0.22,0.0,0.0,12.5,0.0,0.0,0.0,0.09,0.09,0.12,-0.09,-0.09
49,7c3ed041,21,2.8,8000000,1,0,0,0,0.0,0.36,0.0,0.0,0.36,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
50,ed33f42d,21,0.1,2000000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
51,6928979a,23,5.9,65000000,0,0,0,1,0.0,0.68,0.0,0.0,0.68,0.0,0.0,,16.8,0.0,0.0,0.0,0.05,0.05,0.08,-0.05,-0.05
52,a4e16ab4,20,0.7,5000000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
53,8e7f49d3,26,5.5,15000000,0,0,0,1,0.0,0.18,0.0,0.0,0.18,0.0,0.0,,31.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
54,75b86fb3,21,4.6,60000000,1,0,0,0,0.0,0.43,0.0,0.0,0.44,0.0,0.0,,16.9,0.0,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02
55,c432ba7d,20,0.4,700000,0,1,0,1,0.0,2.5,2.5,100.0,2.43,2.43,0.0,0.0,8.0,0.0,0.0,0.0,0.5,0.5,0.18,-0.5,-0.5
56,50dc94ce,23,3.1,30000000,0,1,0,1,0.0,0.32,0.0,0.0,0.32,0.0,0.0,,13.6,0.0,0.0,0.0,0.03,0.03,0.05,-0.03,-0.03
57,57d88cf9,17,7.6,55000000,0,0,0,1,0.13,1.32,0.53,40.0,1.31,0.52,0.1,0.25,18.3,0.0,0.0,0.0,0.11,0.11,0.08,0.03,0.03
58,bef0a7ac,30,2.9,7000000,0,1,0,0,0.0,1.72,0.34,20.0,1.75,0.35,0.0,0.0,16.0,0.0,0.0,0.0,0.24,0.24,0.14,-0.24,-0.24
59,fe888e39,22,0.2,4000000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
60,378825c7,25,5.0,22000000,1,0,0,0,0.4,0.6,0.2,33.3,0.6,0.2,0.33,1.0,18.5,0.2,0.2,0.2,0.22,0.06,0.11,0.18,0.14
61,3b8674e6,23,5.2,35000000,0,0,0,1,0.0,0.96,0.19,20.0,0.95,0.19,0.0,0.0,24.0,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02
62,70d74ece,32,9.3,25000000,0,1,0,0,0.65,3.66,1.83,50.0,3.64,1.82,0.18,0.35,12.8,0.0,0.0,0.0,0.54,0.54,0.15,0.11,0.11
63,b39bf63f,33,5.7,1200000,0,1,0,0,0.35,1.58,0.7,44.4,1.59,0.71,0.11,0.25,13.4,0.0,0.18,0.18,0.46,0.32,0.2,-0.11,-0.14
64,eb6e14be,22,5.2,10000000,0,1,0,1,0.77,3.27,1.54,47.1,3.24,1.53,0.24,0.5,15.0,0.19,0.0,0.0,0.6,0.6,0.18,0.17,0.17
65,ee93c1a9,26,1.7,15000000,1,0,0,1,0.0,5.29,0.59,11.1,5.4,0.6,0.0,0.0,16.1,0.0,0.0,0.0,0.59,0.59,0.11,-0.59,-0.59
66,3cdfc63e,27,6.0,2000000,1,0,0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,,27.7,0.0,0.0,0.0,0.02,0.02,0.02,-0.02,-0.02
67,691bef82,30,4.6,15000000,1,0,0,1,0.0,0.22,0.0,0.0,0.22,0.0,0.0,,24.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
68,2db2fd7b,31,5.8,8500000,1,0,0,0,0.17,0.17,0.17,100.0,0.17,0.17,1.0,1.0,8.0,0.0,0.0,0.0,0.02,0.02,0.09,0.16,0.16
69,9c2b4382,26,0.9,1100000,0,1,0,1,2.22,6.67,5.56,83.3,6.59,5.49,0.33,0.4,12.1,0.0,0.0,0.0,2.0,2.0,0.32,0.22,0.22
70,c603ad6a,25,4.1,2200000,1,0,0,0,0.0,0.24,0.0,0.0,0.24,0.0,0.0,,20.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
71,7713c72a,21,6.0,3000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
72,52ec54d0,33,5.5,8000000,1,0,0,0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,,11.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
73,2cb77ec6,25,2.9,1000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
74,1c07b06e,27,4.6,5000000,0,0,0,1,0.0,1.09,0.0,0.0,1.08,0.0,0.0,,23.9,0.0,0.0,0.0,0.02,0.02,0.02,-0.02,-0.02
75,f6798fc3,29,5.0,18000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
76,20e73fac,26,4.1,15000000,0,0,0,1,0.0,1.71,0.49,28.6,1.71,0.49,0.0,0.0,17.7,0.49,0.0,0.0,0.17,0.17,0.1,-0.17,-0.17
77,1e064bfb,32,1.0,1000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
78,fd771f95,29,2.6,9000000,0,1,0,0,1.15,2.69,1.15,42.9,2.7,1.16,0.29,0.67,11.9,0.0,0.38,0.38,0.92,0.65,0.24,0.23,0.12
79,a167537f,24,2.4,20000000,0,0,0,1,0.0,1.25,0.0,0.0,1.24,0.0,0.0,,18.4,0.0,0.0,0.0,0.04,0.04,0.03,-0.04,-0.04
80,4c184730,18,0.5,7500000,0,1,0,0,0.0,2.0,2.0,100.0,2.0,2.0,0.0,0.0,7.3,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2
81,33b8d077,27,4.1,40000000,0,0,0,1,0.0,0.98,0.24,25.0,0.97,0.24,0.0,0.0,19.7,0.0,0.0,0.0,0.05,0.05,0.05,-0.05,-0.05
82,5caa62a7,25,0.7,5000000,0,1,0,1,0.0,1.43,0.0,0.0,1.36,0.0,0.0,,16.0,0.0,0.0,0.0,0.14,0.14,0.06,-0.14,-0.14
83,e40d028b,42,1.0,1000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,9d12e142,29,4.0,4000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
85,eb2b33aa,26,4.0,5000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
86,5ab0ea87,32,3.7,9000000,0,0,0,1,0.0,1.08,0.54,50.0,1.08,0.54,0.0,0.0,10.3,0.0,0.0,0.0,0.03,0.03,0.04,-0.03,-0.03
87,b8814868,27,3.8,5000000,0,0,0,1,0.0,1.32,0.26,20.0,1.31,0.26,0.0,0.0,13.5,0.0,0.0,0.0,0.11,0.11,0.09,-0.11,-0.11
88,148e136f,30,2.8,9000000,0,1,0,1,0.36,1.79,0.71,40.0,1.78,0.71,0.2,0.5,14.1,0.0,0.0,0.0,0.43,0.43,0.24,-0.07,-0.07
89,038aa94a,31,0.3,1300000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
90,93b891d1,31,1.5,4000000,0,1,0,1,0.67,2.67,0.67,25.0,2.65,0.66,0.25,1.0,11.5,0.0,0.0,0.0,0.2,0.2,0.08,0.47,0.47
91,928a4a61,20,3.6,5000000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
92,ac7e640b,26,0.1,5000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
93,94f8d10c,23,4.0,25000000,1,0,0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,,6.5,0.0,0.0,0.0,0.08,0.08,0.17,-0.08,-0.08
94,489e80e3,20,4.6,10000000,0,0,0,1,0.0,0.87,0.22,25.0,0.88,0.22,0.0,0.0,22.9,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02
95,13ea2544,23,3.2,1500000,0,0,0,1,0.31,1.25,0.31,25.0,1.26,0.31,0.25,1.0,19.1,0.0,0.0,0.0,0.06,0.06,0.05,0.25,0.25
96,7b9c2d84,17,3.6,55000000,0,0,0,1,0.0,1.39,0.56,40.0,1.37,0.55,0.0,0.0,27.1,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
97,873619c6,19,0.1,2300000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
98,a65ce836,26,5.2,26000000,1,0,0,1,0.0,0.77,0.0,0.0,0.77,0.0,0.0,,20.2,0.0,0.0,0.0,0.04,0.04,0.04,-0.04,-0.04
99,bd6351cd,26,6.7,55000000,1,0,0,0,0.15,1.19,0.45,37.5,1.19,0.45,0.13,0.33,22.9,0.0,0.0,0.0,0.06,0.06,0.05,0.09,0.09
100,b4a014b1,27,8.0,45000000,1,0,0,0,0.0,1.5,0.38,25.0,1.5,0.37,0.0,0.0,11.6,0.0,0.0,0.0,0.14,0.14,0.1,-0.14,-0.14
101,de39485a,26,4.2,40000000,1,0,0,1,0.24,2.62,0.95,36.4,2.61,0.95,0.09,0.25,19.2,0.24,0.0,0.0,0.19,0.19,0.07,0.05,0.05
102,4958bfb2,28,1.8,30000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
103,4d224fe8,28,9.2,70000000,0,0,0,1,0.11,1.2,0.22,18.2,1.2,0.22,0.09,0.5,26.3,0.0,0.0,0.0,0.11,0.11,0.09,0.0,0.0
104,ba3d3bea,25,1.0,2500000,0,0,0,1,0.0,2.0,0.0,0.0,2.05,0.0,0.0,,31.5,1.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
105,527f063d,33,2.3,6000000,0,1,0,0,0.0,1.74,0.43,25.0,1.73,0.43,0.0,0.0,21.0,0.0,0.0,0.0,0.22,0.22,0.12,-0.22,-0.22
106,10fe831e,23,5.0,2500000,1,0,0,0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,,7.4,0.0,0.0,0.0,0.06,0.06,0.1,-0.06,-0.06
107,5b54bf3b,30,1.3,5000000,1,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
108,15975a3c,27,3.2,2500000,1,0,0,0,0.0,0.94,0.0,0.0,0.94,0.0,0.0,,14.8,0.0,0.0,0.0,0.06,0.06,0.07,-0.06,-0.06
109,e85fb9b8,35,1.6,1500000,1,0,0,0,0.0,0.62,0.0,0.0,0.63,0.0,0.0,,4.0,0.0,0.0,0.0,0.06,0.06,0.12,-0.06,-0.06
110,b0f7e36c,22,6.1,60000000,0,1,0,1,0.66,2.13,1.15,53.8,2.12,1.14,0.31,0.57,13.4,0.0,0.0,0.0,0.36,0.36,0.17,0.3,0.3
111,d2424d1b,23,8.6,45000000,1,0,0,0,0.12,0.58,0.35,60.0,0.58,0.35,0.2,0.33,9.9,0.0,0.0,0.0,0.14,0.14,0.25,-0.02,-0.02
112,1cb49278,24,6.6,30000000,1,0,0,0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,,32.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
113,5fcb90ac,24,0.7,1500000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
114,b3a712de,28,3.2,10000000,0,1,0,1,0.0,0.94,0.31,33.3,0.93,0.31,0.0,0.0,15.6,0.0,0.0,0.0,0.16,0.16,0.18,-0.16,-0.16
115,d5dafedb,18,1.0,150000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
116,042e8a49,24,6.0,65000000,0,1,0,0,0.5,2.83,0.83,29.4,2.81,0.83,0.18,0.6,17.3,0.0,0.0,0.0,0.35,0.35,0.12,0.15,0.15
117,5ef3d210,17,0.1,8000000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
118,0331786b,24,2.3,1500000,1,0,0,0,0.0,0.43,0.43,100.0,0.43,0.43,0.0,0.0,4.5,0.0,0.0,0.0,0.04,0.04,0.11,-0.04,-0.04
119,6ceef869,34,4.5,1000000,1,0,0,0,0.0,0.22,0.22,100.0,0.22,0.22,0.0,0.0,9.0,0.0,0.0,0.0,0.02,0.02,0.08,-0.02,-0.02
120,fb938d24,27,8.4,30000000,0,1,0,1,0.0,0.6,0.12,20.0,0.6,0.12,0.0,0.0,18.6,0.0,0.0,0.0,0.04,0.04,0.07,-0.04,-0.04
121,01eb744d,25,5.4,40000000,0,1,0,1,0.0,0.93,0.19,20.0,0.93,0.19,0.0,0.0,17.1,0.0,0.0,0.0,0.11,0.11,0.13,-0.11,-0.11
122,45b9b619,25,7.4,30000000,0,1,0,0,0.41,2.3,1.35,58.8,2.3,1.36,0.18,0.3,14.6,0.0,0.0,0.0,0.43,0.43,0.19,-0.03,-0.03
123,93fffbcf,20,1.0,6000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
124,4fa7cb9b,29,2.6,6000000,0,1,0,1,0.0,1.15,0.38,33.3,1.17,0.39,0.0,0.0,17.9,0.0,0.0,0.0,0.04,0.04,0.03,-0.04,-0.04
125,1840e36d,28,12.0,60000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
126,0ef89a37,28,1.5,30000000,0,0,0,1,0.67,4.0,0.67,16.7,4.06,0.68,0.17,1.0,20.5,0.0,0.0,0.0,0.2,0.2,0.05,0.47,0.47
127,06f33dc8,25,2.7,2500000,0,1,0,0,0.0,0.37,0.0,0.0,0.37,0.0,0.0,,7.0,0.0,0.0,0.0,0.07,0.07,0.2,-0.07,-0.07
128,0ab1f153,32,6.1,16000000,1,0,0,0,0.0,0.49,0.0,0.0,0.49,0.0,0.0,,17.0,0.0,0.0,0.0,0.02,0.02,0.05,-0.02,-0.02
129,5722eced,20,2.6,7000000,0,1,0,1,0.0,0.38,0.0,0.0,0.38,0.0,0.0,,30.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
130,4c14af32,19,0.3,300000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
131,44eb9093,31,3.4,5000000,1,0,0,0,0.0,0.29,0.0,0.0,0.29,0.0,0.0,,11.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
132,1ec7e1c5,32,5.8,2000000,1,0,0,0,0.0,0.34,0.17,50.0,0.35,0.17,0.0,0.0,8.0,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02
133,29c02c9f,21,2.5,12000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
134,db4ed67b,24,5.4,16000000,0,0,0,1,0.19,2.22,0.93,41.7,2.21,0.92,0.08,0.2,21.9,0.0,0.0,0.0,0.13,0.13,0.06,0.06,0.06
135,ca45605e,21,2.3,22000000,0,1,0,0,0.0,3.91,1.3,33.3,3.95,1.32,0.0,0.0,14.2,0.0,0.0,0.0,0.61,0.61,0.16,-0.61,-0.61
136,94b2001f,29,6.3,20000000,1,0,0,0,0.0,0.95,0.16,16.7,0.95,0.16,0.0,0.0,24.1,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
137,96e0490d,30,1.9,7000000,1,0,0,0,0.53,2.63,1.05,40.0,2.69,1.08,0.2,0.5,9.1,0.0,0.0,0.0,0.26,0.26,0.11,0.26,0.26
138,d781d855,19,3.6,70000000,1,0,0,0,0.0,0.56,0.0,0.0,0.56,0.0,0.0,,23.7,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
139,e46012d4,29,7.4,100000000,0,1,0,1,0.41,2.84,0.95,33.3,2.84,0.95,0.14,0.43,20.2,0.27,0.0,0.0,0.26,0.26,0.09,0.15,0.15
140,2ef7c612,19,5.1,16000000,1,1,0,0,0.39,1.96,0.59,30.0,1.97,0.59,0.2,0.67,11.5,0.0,0.0,0.0,0.45,0.45,0.25,-0.06,-0.06
141,4b77bb89,19,0.2,4000000,0,1,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
142,0be95d34,24,1.5,4500000,0,1,0,1,0.0,0.67,0.0,0.0,0.68,0.0,0.0,,19.1,0.0,0.0,0.0,0.07,0.07,0.06,-0.07,-0.07
143,fe641c1a,28,4.8,15000000,1,0,0,1,0.0,0.62,0.21,33.3,0.63,0.21,0.0,0.0,14.9,0.0,0.0,0.0,0.06,0.06,0.08,-0.06,-0.06
144,6b6cbca4,28,3.5,4300000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
145,e7986081,24,0.5,20000000,0,1,0,0,0.0,2.0,0.0,0.0,1.91,0.0,0.0,,5.8,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2
146,b19db005,23,4.2,50000000,0,1,0,0,0.71,4.76,2.62,55.0,4.71,2.59,0.1,0.18,18.6,0.0,0.24,0.24,0.71,0.52,0.11,0.0,-0.05
147,e3cceee6,22,4.4,28000000,1,0,0,0,0.0,0.45,0.23,50.0,0.45,0.23,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
148,2c44a35d,22,3.8,5000000,0,1,0,1,0.26,1.32,0.79,60.0,1.32,0.79,0.2,0.33,12.8,0.0,0.0,0.0,0.24,0.24,0.18,0.03,0.03
149,85686f86,31,1.8,1500000,0,1,0,0,0.56,0.56,0.56,100.0,0.55,0.55,1.0,1.0,9.1,0.0,0.0,0.0,0.28,0.28,0.55,0.28,0.28
