Player,fbref id,transm id,mv
Mattia De Sciglio,ae4e2852,88682,9500000
Milos Degenek,c8e65157,187353,3000000
Thomas Delaney,fe641c1a,91849,17500000
Simon Deli,6b6cbca4,234124,5500000
Moussa Dembele,e7986081,229004,40000000
Ousmane Dembele,b19db005,288230,56000000
Merih Demiral,e3cceee6,340879,27000000
Kerem Demirbay,54b4dc4e,125858,24000000
Diego Demme,dc3fa3b5,82070,13500000
Diego Demme,dc3fa3b5,82070,13500000
Jason Denayer,47af88b8,277114,12000000
Emmanuel Dennis,2c44a35d,448854,13500000
Dentinho,85686f86,52787,1200000
Memphis Depay,8f696594,167850,44000000
Sergino Dest,5976f83e,361104,18000000
Sebastien Dewaest,365836c9,125754,3200000
Giovanni Di Lorenzo,230a2fac,169880,16000000
Angel Di Maria,19cda00b,45320,32000000
Moussa Diaby,aeed5c06,395516,27000000
Mbaye Diagne,dda3969e,271966,4800000
Mouctar Diakhaby,d2110326,346289,17500000
Abdou Diallo,fc62f087,229005,28000000
Ruben Dias,31c69ef1,258004,30500000
Krepin Diatta,8104e41e,490426,19000000
Brahim Diaz,407feb71,314678,13500000
Eric Dier,ac861941,175722,20000000
Virgil van Dijk,e06683ca,139208,80000000
Emir Dilaver,db3cb6ee,80161,3200000
Tiago Djalo,b2336681,420465,4500000
Berat Djimsiti,6eee05f1,165513,12000000
Dodo,b5f7d10b,401529,3600000
Jaume Domenech,c9cb972b,227805,6000000
Ryan Donk,d072a976,38414,800000
Gabriel Dos Santos,67ac5bb8,435338,17500000
Aleksandar Dragovic,6fd8a334,59032,5200000
Julian Draxler,1a992676,85148,24000000
Sebastian Driussi,60e86875,294853,13000000
Leo Dubois,ff0ab48c,236400,12000000
Paulo Dybala,e0921a4f,206050,72000000
Artem Dzyuba,448a3608,48067,13000000
Eder,f0fc9d0e,84481,1200000
Ederson,3bb7b8b4,238223,56000000
Jurgen Ekkelenkamp,73d6a176,361068,3200000
Omar Elabdellaoui,4f56170e,121404,4800000
Elif Elmas,cf007308,400489,15500000
Christian Eriksen,980522ec,69633,68000000
Aleksandr Erokhin,1c78737d,84483,5200000
Sebastiano Esposito,7ff93107,538918,9000000
Fabinho,7f3b388c,225693,56000000
Malachi Fagan-Walcott,8263d615,554173,N/A
Radamel Falcao,66116290,39152,4800000
Patrick Farkas,810e40c1,81675,1200000
Ansu Fati,0ba976e4,466810,36000000
Sofiane Feghouli,691f64f5,57162,6000000
Ljubomir Fejsa,874d7a32,46110,2800000
Felipe,51a3c4c8,156501,25500000
Joao Felix,8aafd64f,462250,81000000
Gedson Fernandes,e2dde94c,337800,13500000
Gedson Fernandes,e2dde94c,337800,13500000
Fernandinho,101da2b5,26267,8000000
Roberto Firmino,4c370d81,131789,72000000
Junior Firpo,24f59bb2,374139,20000000
Alessandro Florenzi,e288d4b3,130365,16000000
Phil Foden,ed1e53f3,406635,27000000
Jose Fonte,90f87966,33829,1200000
Emil Forsberg,9a2e0ccc,111078,22500000
Juan Foyth,6c7762c3,480763,13500000
Remo Freuler,98d2c2c4,148252,20000000
Michal Frydrych,ceb30355,119862,800000
Gabriel,0d10333c,167291,12000000
Gianluca Gaetano,3b387cc7,358008,725000
Roberto Gagliardini,ce30bfc8,197471,12000000
Kevin Gameiro,42276181,27389,6500000
Idrissa Gana Gueye,72c812f3,126665,24000000
Ezequiel Garay,ac3fb1be,35939,4800000
Eric Garcia,2bed3eab,466794,6300000
Mateo Garcia,62db2015,441287,2200000
Mario Gavranovic,aad9c3f3,61380,1600000
Paulo Gazzaniga,63d17038,195488,2800000
Olivier Giroud,16ceb862,82442,7000000
Serge Gnabry,88e357ef,159471,72000000
Marko Gobeljic,50c1ff86,196961,2000000
Diego Godin,fc4f85b1,54928,8000000
Amer Gojak,51ffa295,293210,5500000
Pierluigi Gollini,f0f7f62f,244192,13000000
Joe Gomez,7a11550b,256178,33500000
Maxi Gomez,4c2e9442,396894,32000000
Papu Gomez,6e4df551,20005,13000000
Leon Goretzka,cc86b9a3,153084,40000000
Robin Gosens,2d970560,273132,20000000
Mario Gotze,9efa1d25,74842,10500000
Amine Gouiri,aad56ca3,418659,4000000
Antoine Griezmann,df69b544,125781,96000000
Alex Grimaldo,b1f4086c,193082,28000000
Goncalo Guedes,e6bc67d7,225122,22500000
Raphael Guerreiro,048a1cbc,170986,28000000
Guilherme,8754c7ca,115382,3200000
Bruno Guimaraes,82518f62,520624,28000000
Peter Gulacsi,bcb2ccd8,57071,9500000
Ilkay Gundogan,819b3158,53622,40000000
Erling Haaland,1f44ac21,418560,72000000
Erling Haaland,1f44ac21,418560,72000000
Ianis Hagi,0127419a,282076,4500000
Amadou Haidara,92432bc6,402008,15500000
Izet Hajrovic,55537f53,74996,1200000
Achraf Hakimi,e42d61c7,398073,54000000
Marcel Halstenberg,8ff2354e,70243,17500000
Samir Handanovic,74419746,28021,4800000
Taylor Harwood-Bellis,47327321,503977,2300000
Hans Hateboer,3b333ac3,275303,12000000
Kai Havertz,fed7cb61,309400,81000000
Eden Hazard,a39bb753,50202,80000000
Thorgan Hazard,50871bcc,102226,32000000
Hwang Hee-chan,169fd162,292246,10000000
Jordan Henderson,935e6b8f,61651,28000000
Mario Hermoso,555f3a0b,281769,20000000
Lucas Hernandez,c3ee18ef,281963,56000000
Ander Herrera,436a9dd0,99343,16000000
Hector Herrera,a8542814,122043,16000000
Son Heung-min,92e7e919,91845,64000000
Bryan Heynen,360e3062,356081,5500000
Gonzalo Higuain,8a08491a,39153,25500000
David Hovorka,d72f8d9e,263431,2400000
Benedikt Howedes,d5c04323,39020,3000000
Lukas Hradecky,ad3389d5,48015,8000000
Patrik Hrosovsky,f2d063ec,217879,4000000
Callum Hudson-Odoi,15f3ec41,392768,31500000
Mats Hummels,05d548d8,39728,24000000
Klaas-Jan Huntelaar,5042e5c2,4357,800000
Josef Husbauer,3d68d631,63899,1200000
Roger Ibanez,82efe6fa,524481,1800000
Mauro Icardi,43b78598,68863,60000000
Brian Idowu,8387afe6,178957,950000
Vladislav Ignatyev,5cb1d026,51897,2000000
Jonathan Ikone,42eaa028,324690,36000000
Josip Ilicic,68252d6d,80351,17500000
Selcuk Inan,54f2d108,35026,300000
Lorenzo Insigne,2f557579,133964,48000000
Isco,a0b4bb3e,85288,40000000
Ismaily,cf182add,124028,15000000
Junya Ito,dbd3a428,348791,4500000
Mirko Ivanic,4c82730b,233129,1500000
Branislav Ivanovic,85f8571a,36827,1200000
Luka Ivanusec,29fbdc88,387105,3600000
Reece James,1265a93a,472423,22500000
Jardel,ce9e8024,122946,1200000
Gabriel Jesus,b66315ae,363205,56000000
Frenkie de Jong,1bacc518,326330,72000000
Siem de Jong,cf2a6ace,45509,1600000
Jorginho,45db685d,102017,52000000
Jota,2b65fe46,329812,9000000
Dusan Jovancic,4dbdf7f7,231354,1500000
Luka Jovic,4d8cd038,257462,32000000
Vinicius Junior,7111d552,371998,45000000
Zlatko Junuzovic,dba67bc4,31007,3200000
Damian Kadzior,bb6c6331,199299,2400000
Kevin Kampl,b825a650,53418,17500000
Harry Kane,21a66f6a,132098,120000000
Lee Kangin,8455ad90,557149,13500000
N'Golo Kante,b9fbae28,225083,80000000
Vyacheslav Karavayev,b0b902c8,170620,5500000
Thilo Kehrer,51dbeea9,228948,28000000
Naby Keita,f25c8e3a,302215,33500000
Mikhail Kerzhakov,2fabebc0,27706,650000
Sami Khedira,38ac43d3,29401,5500000
Joshua Kimmich,49296448,161056,64000000
Presnel Kimpembe,aef6e670,282041,28000000
Simon Kjaer,8b8a56ce,48859,5200000
Lukas Klostermann,ca8033cb,215599,28000000
Anton Kochenkov,4e034598,70220,550000
Sekou Koita,6747869d,402010,4500000
Koke,55126f3b,74229,48000000
Ondrej Kolar,179d2851,189630,4500000
Aleksandr Kolomeytsev,cc96d422,65966,650000
Ibrahima Konate,5ed9b537,357119,40500000
Geoffrey Kondogbia,cce181df,127189,22500000
Youssouf Kone,e6eadfb8,274484,6500000
Yevhen Konoplyanka,d9a5d930,58949,4800000
Odilon Kossonou,1f3afdcb,644771,4000000
Nianzou Kouassi,5853ac44,538996,11000000
Kalidou Koulibaly,da974c7b,93128,56000000
Mateo Kovacic,79c0821a,51471,36000000
Viktor Kovalenko,9d60028d,203842,4800000
Toni Kroos,6ce1f46f,31909,48000000
Grzegorz Krychowiak,580d52dd,45184,16000000
Serhiy Kryvtsov,292a652a,74089,4000000
Ondrej Kudela,9d40ca9c,35699,1600000
Daniil Kulikov,c01f247a,425756,325000
Layvin Kurzawa,41e7ef1c,126710,12000000
Daler Kuzyaev,d4e93bab,279570,8000000
Solomon Kvirkvelia,19e4dca5,157391,6500000
Rajiv van La Parra,1931bde9,77001,2400000
Zakaria Labyad,ebc56869,123349,3200000
Konrad Laimer,c1b7847c,223967,24000000
Erik Lamela,abe66106,111630,16000000
Noa Lang,8e034340,339332,3500000
Aymeric Laporte,119b9a8e,176553,60000000
Valentino Lazaro,016ff750,186368,15000000
Thomas Lemar,4dbd0916,205562,24000000
Mario Lemina,2b471f99,170934,10500000
Clement Lenglet,4f28a6ff,182904,48000000
Marin Leovac,2ba38347,51604,725000
Robert Lewandowski,8d78e732,38253,56000000
Matthijs de Ligt,d6e53a3a,326031,67500000
Dominik Livakovic,58f077c0,205927,10500000
Fernando Llorente,82dbf623,35564,4000000
Marcos Llorente,02c15616,282411,16000000
Hugo Lloris,8f62b6ee,17965,14500000
Giovani Lo Celso,d7553721,348795,40000000
Stanislav Lobotka,e1cbb531,192735,16000000
Renan Lodi,ed9f7cfe,476352,31500000
Ademola Lookman,7c104bb7,406040,13500000
Anthony Lopes,f00de885,60561,17500000
Maximiliano Lovera,c27ae377,441422,3200000
Dejan Lovren,1a2935f6,37838,16000000
Hirving Lozano,a69e4806,316889,28000000
Caio Lucas Fernandes,ca5828af,308441,2400000
Jean Lucas,a99138af,578872,4500000
Jhon Lucumi,80490d7f,413565,7200000
Jose Luis Gaya,b05e2dbd,221322,40000000
Jose Luis Palomino,921f6058,125020,8000000
Florentino Luis,881cd6be,357162,18000000
Romelu Lukaku,5eae500a,96341,68000000
Andrey Lunyov,8a6ab963,112541,7000000
Sebastiano Luperto,997fff07,278531,4000000
Christian Luyindama,d8feae4a,262793,5500000
