Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Mikkel Andersen,63e905bc,200000,dk DEN,GK,dk Midtjylland,31,1988,2.0,66,95,69.5,1954,1340,16,16,100.0,24,24,100.0,26,55,47.3,0,0.0,0.0,0,0,0,0,0
Felipe Anderson,9f1893b9,10000000,br BRA,FW,pt Porto,27,1993,0.7,17,19,89.5,261,42,9,10,90.0,5,5,100.0,2,2,100.0,0,0.0,0.0,1,0,1,0,1
Mikael Anderson,0a721e85,1500000,is ISL,MFFW,dk Midtjylland,22,1998,1.9,40,57,70.2,663,186,20,26,76.9,17,19,89.5,3,11,27.3,0,0.4,-0.4,2,3,3,0,8
Joel Andersson,b5f66351,2000000,se SWE,DF,dk Midtjylland,23,1996,4.4,135,210,64.3,3014,1286,40,51,78.4,62,90,68.9,32,62,51.6,0,0.1,-0.1,2,17,4,2,16
Oleksandr Andriyevskyi,4e3f5992,1200000,ua UKR,MF,ua Dynamo Kyiv,26,1994,1.4,71,82,86.6,1397,292,32,33,97.0,30,34,88.2,9,14,64.3,0,0.5,-0.5,1,6,0,0,6
Angeliño,30941e96,35000000,es ESP,DF,de RB Leipzig,23,1997,7.0,287,407,70.5,5141,1959,138,162,85.2,122,160,76.3,26,70,37.1,3,1.2,+1.8,15,11,16,7,26
Faustino Anjorin,b105919e,2500000,eng ENG,FW,eng Chelsea,18,2001,0.9,40,45,88.9,566,190,23,25,92.0,16,17,94.1,1,1,100.0,0,0.3,-0.3,2,1,3,0,7
Marcos Antônio,108fe016,8000000,br BRA,MF,ua Shakhtar,20,2000,2.7,137,157,87.3,2388,469,65,70,92.9,53,59,89.8,15,23,65.2,0,0.1,-0.1,2,10,0,0,7
Antony,99127249,25000000,br BRA,FW,nl Ajax,20,2000,4.0,115,166,69.3,1951,511,62,74,83.8,37,55,67.3,13,25,52.0,0,0.6,-0.6,6,6,6,2,13
Youssef El-Arabi,c63f6e46,3000000,ma MAR,FW,gr Olympiacos,33,1987,4.7,59,85,69.4,1050,115,26,34,76.5,21,31,67.7,8,11,72.7,0,0.1,-0.1,2,4,1,1,2
Ronald Araújo,2bef2bca,25000000,uy URU,DF,es Barcelona,21,1999,1.6,85,91,93.4,1571,339,28,28,100.0,44,47,93.6,9,12,75.0,0,0.0,0.0,0,1,0,0,1
Ari,30643ce2,600000,ru RUS,FW,ru Krasnodar,34,1985,0.3,6,13,46.2,96,18,4,6,66.7,2,7,28.6,0,0,,0,0.1,-0.1,1,0,1,0,1
Bright Arrey-Mbi,1394bf42,1000000,de GER,DF,de Bayern Munich,17,2003,0.7,21,23,91.3,366,51,10,10,100.0,10,11,90.9,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Sergio Arribas,1e465e70,3000000,es ESP,FW,es Real Madrid,18,2001,0.4,24,25,96.0,441,87,9,10,90.0,12,12,100.0,2,2,100.0,0,0.0,0.0,0,0,1,1,2
Kepa Arrizabalaga,28d596a0,13000000,es ESP,GK,eng Chelsea,25,1994,1.0,22,25,88.0,456,160,3,3,100.0,19,19,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0
Marco Asensio,45af8a54,35000000,es ESP,FW,es Real Madrid,24,1996,6.9,258,325,79.4,4401,643,141,159,88.7,84,105,80.0,29,46,63.0,0,0.2,-0.2,3,17,3,1,18
Majeed Ashimeru,552e00b9,2500000,gh GHA,MF,at RB Salzburg,22,1997,0.5,42,43,97.7,650,151,19,19,100.0,21,21,100.0,0,1,0.0,0,0.0,0.0,0,4,0,0,2
Sardar Azmoun,10549b49,25000000,ir IRN,FW,ru Zenit,25,1995,3.2,56,78,71.8,900,135,31,43,72.1,20,27,74.1,5,7,71.4,0,0.6,-0.6,6,2,1,1,3
César Azpilicueta,53cad200,13000000,es ESP,DF,eng Chelsea,30,1989,10.7,614,740,83.0,10342,4270,300,317,94.6,258,291,88.7,48,108,44.4,0,0.4,-0.4,7,46,5,2,40
Demba Ba,8b683d09,500000,sn SEN,FW,tr Başakşehir,35,1985,3.6,70,90,77.8,1173,155,37,44,84.1,24,31,77.4,7,11,63.6,1,0.4,+0.6,2,4,1,0,3
Ousseynou Ba,60c07b31,5000000,sn SEN,DF,gr Olympiacos,24,1995,2.1,91,106,85.8,1914,607,31,33,93.9,45,47,95.7,15,25,60.0,0,0.0,0.0,0,0,0,0,1
Youssouph Badji,6a2b9aee,3500000,sn SEN,FW,be Club Brugge,18,2001,0.4,3,7,42.9,30,5,1,4,25.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0
Mitchel Bakker,a8567629,10000000,nl NED,DF,fr Paris S-G,20,2000,4.6,162,193,83.9,2236,669,112,118,94.9,37,46,80.4,8,15,53.3,0,0.0,0.0,1,6,0,0,6
Leonardo Balerdi,7c3ed041,8000000,ar ARG,DF,fr Marseille,21,1999,2.8,163,180,90.6,3562,891,45,47,95.7,83,89,93.3,33,41,80.5,0,0.0,0.0,0,2,0,0,3
Tudor Băluță,ed33f42d,2000000,ro ROU,MF,ua Dynamo Kyiv,21,1999,0.1,4,5,80.0,84,4,1,1,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0
Nicolò Barella,6928979a,65000000,it ITA,MF,it Inter,23,1997,5.9,248,330,75.2,4526,1649,116,138,84.1,95,119,79.8,32,53,60.4,1,0.4,+0.6,5,33,18,3,50
Romário Baró,a4e16ab4,5000000,pt POR,MF,pt Porto,20,2000,0.7,21,26,80.8,356,57,9,11,81.8,10,12,83.3,1,1,100.0,0,0.0,0.0,0,1,0,0,0
Wílmar Barrios,8e7f49d3,15000000,co COL,MF,ru Zenit,26,1993,5.5,262,308,85.1,5233,1383,98,113,86.7,110,123,89.4,46,57,80.7,0,0.0,0.0,1,20,2,0,13
Alessandro Bastoni,75b86fb3,60000000,it ITA,DF,it Inter,21,1999,4.6,283,339,83.5,6050,1509,88,99,88.9,138,144,95.8,55,84,65.5,1,0.1,+0.9,2,33,4,1,23
Roko Baturina,c432ba7d,700000,hr CRO,MFFW,hu Ferencváros,20,2000,0.4,15,18,83.3,204,13,10,11,90.9,5,6,83.3,0,0,,0,0.2,-0.2,1,0,0,0,0
Donny van de Beek,50dc94ce,30000000,nl NED,MFFW,eng Manchester Utd,23,1997,3.1,170,189,89.9,2534,544,102,113,90.3,59,65,90.8,6,8,75.0,0,0.2,-0.2,5,15,3,0,10
Jude Bellingham,57d88cf9,55000000,eng ENG,MF,de Dortmund,17,2003,7.6,296,355,83.4,5073,899,137,161,85.1,117,133,88.0,30,41,73.2,1,0.8,+0.2,6,29,5,0,27
Darío Benedetto,bef0a7ac,7000000,ar ARG,FW,fr Marseille,30,1990,2.9,32,42,76.2,626,126,14,16,87.5,6,9,66.7,7,10,70.0,0,0.0,0.0,2,1,1,1,3
László Bénes,fe888e39,4000000,sk SVK,MF,de M'Gladbach,22,1997,0.2,4,6,66.7,74,3,1,2,50.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0
Ramy Bensebaini,378825c7,22000000,dz ALG,DF,de M'Gladbach,25,1995,5.0,183,242,75.6,3158,1242,84,96,87.5,81,100,81.0,16,34,47.1,0,0.1,-0.1,2,7,1,0,6
Rodrigo Bentancur,3b8674e6,35000000,uy URU,MF,it Juventus,23,1997,5.2,325,370,87.8,6032,1598,148,158,93.7,130,143,90.9,41,56,73.2,0,0.4,-0.4,8,37,3,1,39
Karim Benzema,70d74ece,25000000,fr FRA,FW,es Real Madrid,32,1987,9.3,311,358,86.9,4806,834,177,203,87.2,97,104,93.3,25,29,86.2,0,1.8,-1.8,19,20,15,1,22
Marcus Berg,b39bf63f,1200000,se SWE,FW,ru Krasnodar,33,1986,5.7,89,125,71.2,1300,198,55,72,76.4,27,38,71.1,4,10,40.0,0,0.1,-0.1,4,3,2,0,5
Mergim Berisha,eb6e14be,10000000,de GER,MFFW,at RB Salzburg,22,1998,5.2,92,125,73.6,1295,520,55,73,75.3,24,33,72.7,6,7,85.7,1,1.8,-0.8,9,9,9,1,22
Federico Bernardeschi,ee93c1a9,15000000,it ITA,MFDF,it Juventus,26,1994,1.7,64,84,76.2,1258,413,30,35,85.7,23,28,82.1,10,15,66.7,1,0.3,+0.7,4,5,4,2,7
Miha Blažič,3cdfc63e,2000000,si SVN,DF,hu Ferencváros,27,1993,6.0,401,467,85.9,9565,3013,84,95,88.4,223,229,97.4,90,134,67.2,0,0.1,-0.1,2,34,2,0,26
Daley Blind,691bef82,15000000,nl NED,DFMF,nl Ajax,30,1990,4.6,260,312,83.3,5874,2257,67,76,88.2,134,151,88.7,56,79,70.9,0,0.1,-0.1,2,18,3,0,18
Jérôme Boateng,2db2fd7b,8500000,de GER,DF,de Bayern Munich,31,1988,5.8,383,438,87.4,9522,2769,70,77,90.9,207,222,93.2,105,134,78.4,0,0.1,-0.1,1,38,3,1,34
Franck Boli,9c2b4382,1100000,ci CIV,FWMF,hu Ferencváros,26,1993,0.9,20,22,90.9,283,38,12,13,92.3,6,6,100.0,1,2,50.0,0,0.0,0.0,1,1,2,0,2
Boli Bolingoli-Mbombo,c603ad6a,2200000,be BEL,DF,tr Başakşehir,25,1995,4.1,172,217,79.3,2626,1086,99,115,86.1,61,71,85.9,8,20,40.0,0,0.3,-0.3,4,9,6,1,19
Valerii Bondar,7713c72a,3000000,ua UKR,DF,ua Shakhtar,21,1999,6.0,302,342,88.3,7092,1874,61,65,93.8,165,174,94.8,74,100,74.0,0,0.0,0.0,0,3,0,0,5
Leonardo Bonucci,52ec54d0,8000000,it ITA,DF,it Juventus,33,1987,5.5,387,421,91.9,9114,3373,82,86,95.3,222,232,95.7,80,100,80.0,0,0.0,0.0,0,33,4,0,24
Endre Botka,2cb77ec6,1000000,hu HUN,DF,hu Ferencváros,25,1994,2.9,121,152,79.6,2072,710,55,65,84.6,60,71,84.5,6,14,42.9,0,0.0,0.0,2,9,1,0,12
Andreas Bouchalakis,1c07b06e,5000000,gr GRE,MF,gr Olympiacos,27,1993,4.6,210,252,83.3,4171,1021,75,89,84.3,93,103,90.3,35,46,76.1,0,0.3,-0.3,1,23,4,0,23
Yassine Bounou,f6798fc3,18000000,ma MAR,GK,es Sevilla,29,1991,5.0,121,142,85.2,3539,1622,16,16,100.0,60,60,100.0,44,65,67.7,0,0.0,0.0,0,1,0,0,0
Benjamin Bourigeaud,20e73fac,15000000,fr FRA,MF,fr Rennes,26,1994,4.1,203,254,79.9,4359,994,79,85,92.9,77,82,93.9,46,78,59.0,1,0.8,+0.2,12,19,6,1,14
Denys Boyko,1e064bfb,1000000,ua UKR,GK,ua Dynamo Kyiv,32,1988,1.0,33,40,82.5,795,375,9,10,90.0,17,17,100.0,7,13,53.8,0,0.0,0.0,0,0,0,0,0
Martin Braithwaite,fd771f95,9000000,dk DEN,FW,es Barcelona,29,1991,2.6,38,49,77.6,442,49,28,33,84.8,7,11,63.6,1,1,100.0,1,0.2,+0.8,1,0,2,0,3
Julian Brandt,a167537f,20000000,de GER,MF,de Dortmund,24,1996,2.4,153,177,86.4,2857,501,80,90,88.9,46,48,95.8,26,32,81.3,0,0.3,-0.3,6,9,4,0,10
Brian Brobbey,4c184730,7500000,nl NED,FW,nl Ajax,18,2002,0.5,12,14,85.7,118,6,8,9,88.9,2,2,100.0,0,0,,0,0.1,-0.1,1,0,0,0,0
Marcelo Brozović,33b8d077,40000000,hr CRO,MF,it Inter,27,1992,4.1,303,363,83.5,6796,1635,81,89,91.0,156,171,91.2,61,86,70.9,1,0.7,+0.3,9,35,2,0,21
Bruma,5caa62a7,5000000,pt POR,FWMF,gr Olympiacos,25,1994,0.7,33,42,78.6,513,95,21,22,95.5,11,13,84.6,1,2,50.0,0,0.0,0.0,0,0,0,0,1
Gianluigi Buffon,e40d028b,1000000,it ITA,GK,it Juventus,42,1978,1.0,24,28,85.7,711,495,5,5,100.0,9,9,100.0,9,13,69.2,0,0.0,0.0,0,0,0,0,0
Roman Bürki,9d12e142,4000000,ch SUI,GK,de Dortmund,29,1990,4.0,106,135,78.5,2727,1495,21,21,100.0,57,57,100.0,27,56,48.2,0,0.0,0.0,0,1,0,0,0
Heorhiy Bushchan,eb2b33aa,5000000,ua UKR,GK,ua Dynamo Kyiv,26,1994,4.0,85,116,73.3,2675,1587,10,10,100.0,42,44,95.5,33,62,53.2,0,0.0,0.0,0,0,0,0,0
Sergio Busquets,5ab0ea87,9000000,es ESP,MF,es Barcelona,32,1988,3.7,330,354,93.2,5976,1367,138,146,94.5,146,159,91.8,38,41,92.7,0,0.2,-0.2,4,38,3,0,23
Vitaliy Buyalskyi,b8814868,5000000,ua UKR,MF,ua Dynamo Kyiv,27,1993,3.8,76,89,85.4,1272,333,37,40,92.5,31,36,86.1,6,7,85.7,0,0.6,-0.6,5,9,2,0,11
