Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Danilo Pereira,8fd9996f,20000000,pt POR,DFMF,fr Paris S-G,28,1991,8.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ivan Perišić,6fe90922,10000000,hr CRO,FWDF,it Inter,31,1989,2.7,1,6,2,33.3,2.20,0.73,0.17,0.50,13.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5
Matteo Pessina,780e3631,20000000,it ITA,MF,it Atalanta,23,1997,5.4,0,4,0,0.0,0.74,0.00,0.00,,16.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Sergei Petrov,17145c90,3500000,ru RUS,DF,ru Krasnodar,29,1991,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luca Pfeiffer,83e1f40e,500000,de GER,FWMF,dk Midtjylland,23,1996,0.2,0,2,1,50.0,8.57,4.29,0.00,0.00,12.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Nathaniel Phillips,515ebe8d,8000000,eng ENG,DF,eng Liverpool,23,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Andrea Pinamonti,08aa9cd1,12000000,it ITA,DF,it Inter,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gerard Piqué,adfc9123,10000000,es ESP,DF,es Barcelona,33,1987,2.6,1,1,1,100.0,0.38,0.38,1.00,1.00,9.0,0,0,0,0.1,0.1,0.10,+0.9,+0.9
Łukasz Piszczek,fe2db476,22000000,pl POL,DF,de Dortmund,35,1985,2.5,1,2,2,100.0,0.80,0.80,0.50,0.50,6.1,0,0,0,0.7,0.7,0.36,+0.3,+0.3
Miralem Pjanić,ad6df2d5,750000,ba BIH,MF,es Barcelona,30,1990,5.5,0,8,1,12.5,1.46,0.18,0.00,0.00,25.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Alassane Pléa,bc6bd723,20000000,fr FRA,FW,de M'Gladbach,27,1993,6.0,5,16,7,43.8,2.67,1.17,0.31,0.71,15.4,1,0,0,2.6,2.6,0.16,+2.4,+2.4
Paul Pogba,867239d3,60000000,fr FRA,MF,eng Manchester Utd,27,1993,2.0,0,5,0,0.0,2.49,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Carlos Ponck,b1579026,900000,cv CPV,DF,tr Başakşehir,25,1995,2.1,0,1,0,0.0,0.49,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Denys Popov,67f0703d,3500000,ua UKR,DF,ua Dynamo Kyiv,21,1999,4.6,1,1,1,100.0,0.22,0.22,1.00,1.00,8.0,0,0,0,0.1,0.1,0.08,+0.9,+0.9
Yussuf Poulsen,d2416c2e,21000000,dk DEN,FW,de RB Leipzig,26,1994,5.6,1,6,2,33.3,1.06,0.35,0.17,0.50,12.2,0,0,0,0.5,0.5,0.08,+0.5,+0.5
Danila Prokhin,256ac8f4,1200000,ru RUS,DF,ru Zenit,19,2001,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Quincy Promes,b182a240,15000000,nl NED,FWDF,nl Ajax,28,1992,2.8,0,5,2,40.0,1.81,0.73,0.00,0.00,20.0,0,0,0,0.8,0.8,0.16,-0.8,-0.8
Riqui Puig,f090a37a,18000000,es ESP,MFFW,es Barcelona,20,1999,1.0,0,3,0,0.0,3.03,0.00,0.00,,18.0,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Christian Pulisic,1bf33a9a,50000000,us USA,FWMF,eng Chelsea,21,1998,4.7,2,15,4,26.7,3.19,0.85,0.13,0.50,12.7,0,0,0,2.3,2.3,0.16,-0.3,-0.3
Andriy Pyatov,34c3b935,1000000,ua UKR,GK,ua Shakhtar,36,1984,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Adrien Rabiot,8794e251,30000000,fr FRA,MF,it Juventus,25,1995,5.6,1,7,4,57.1,1.26,0.72,0.14,0.25,22.8,0,0,0,0.2,0.2,0.03,+0.8,+0.8
Nemanja Radonjić,0630eb63,6000000,rs SRB,FW,fr Marseille,24,1996,1.0,0,1,1,100.0,0.98,0.98,0.00,0.00,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Ștefan Radu,53de807a,2000000,ro ROU,DF,it Lazio,33,1986,1.5,0,1,0,0.0,0.67,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Rafael,9a1f2e1c,2700000,br BRA,DF,tr Başakşehir,30,1990,5.7,0,2,1,50.0,0.35,0.17,0.00,0.00,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Rafinha,d003e213,15000000,br BRA,DF,gr Olympiacos,34,1985,6.0,0,1,0,0.0,0.17,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Rafinha,0c2ac3cb,1000000,br BRA,MF,fr Paris S-G,27,1993,1.4,0,3,2,66.7,2.08,1.38,0.00,0.00,20.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Slobodan Rajković,9686fc54,300000,rs SRB,DF,ru Loko Moscow,31,1989,3.0,0,1,0,0.0,0.33,0.00,0.00,,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ivan Rakitić,89f951b5,10000000,hr CRO,MF,es Sevilla,32,1988,5.1,2,9,3,33.3,1.77,0.59,0.22,0.67,20.6,1,0,0,0.5,0.5,0.06,+1.5,+1.5
Yaroslav Rakitskiy,47fd5136,6000000,ua UKR,DF,ru Zenit,30,1989,5.2,0,2,0,0.0,0.38,0.00,0.00,,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0
André Ramalho,7483d9f9,3000000,br BRA,DF,at RB Salzburg,28,1992,6.0,0,7,2,28.6,1.17,0.33,0.00,0.00,16.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Cristian Ramírez,8a1d7b51,6000000,ec ECU,DFMF,ru Krasnodar,25,1994,5.5,1,7,2,28.6,1.27,0.36,0.14,0.50,24.4,0,0,0,0.2,0.2,0.03,+0.8,+0.8
Sergio Ramos,08511d65,10000000,es ESP,DF,es Real Madrid,34,1986,4.7,2,4,2,50.0,0.85,0.43,0.25,0.50,11.9,0,1,1,1.0,0.2,0.06,+1.0,+0.8
Aaron Ramsey,ef619b0b,14000000,wls WAL,MF,it Juventus,29,1990,4.0,0,8,2,25.0,2.02,0.50,0.00,0.00,18.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Lazar Ranđelović,1dbfae2d,2000000,rs SRB,FWMF,gr Olympiacos,22,1997,2.6,0,2,1,50.0,0.76,0.38,0.00,0.00,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Marcus Rashford,a1d5bd30,85000000,eng ENG,FW,eng Manchester Utd,22,1997,4.6,6,18,11,61.1,3.91,2.39,0.28,0.45,19.9,1,1,1,3.1,2.4,0.13,+2.9,+2.6
Pepe Reina,e358587b,800000,es ESP,GK,it Lazio,37,1982,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Reinier,6b21b7b5,16000000,br BRA,MFFW,de Dortmund,18,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karim Rekik,3376a776,3000000,nl NED,DF,es Sevilla,25,1994,2.4,0,1,1,100.0,0.41,0.41,0.00,0.00,6.0,0,0,0,0.6,0.6,0.58,-0.6,-0.6
Marco Reus,36a3ff67,13000000,de GER,FWMF,de Dortmund,31,1989,7.7,1,13,3,23.1,1.69,0.39,0.08,0.33,17.4,2,0,0,1.2,1.2,0.09,-0.2,-0.2
Gio Reyna,7fa4e703,38000000,us USA,FWMF,de Dortmund,17,2002,5.1,0,6,1,16.7,1.18,0.20,0.00,0.00,16.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Federico Ricca,54f5ce34,3000000,uy URU,DF,be Club Brugge,25,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Chris Richards,0a3d6d2b,7500000,us USA,DF,de Bayern Munich,20,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mats Rits,733e7ad8,5500000,be BEL,MF,be Club Brugge,27,1993,3.6,0,2,1,50.0,0.56,0.28,0.00,0.00,9.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Sergi Roberto,335fa267,18000000,es ESP,DFMF,es Barcelona,28,1992,2.0,0,1,1,100.0,0.49,0.49,0.00,0.00,5.4,0,0,0,0.2,0.2,0.25,-0.2,-0.2
Andrew Robertson,2e4f5f03,65000000,sct SCO,DF,eng Liverpool,26,1994,8.4,0,4,0,0.0,0.48,0.00,0.00,,26.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Marc Roca,da27e268,10000000,es ESP,MF,de Bayern Munich,23,1996,1.7,0,1,0,0.0,0.58,0.00,0.00,,27.5,0,0,0,0.0,0.0,0.01,0.0,0.0
Rodri,6434f10d,70000000,es ESP,MF,eng Manchester City,24,1996,8.7,0,5,2,40.0,0.57,0.23,0.00,0.00,21.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
