,Player,Age,90s,mv,DF,FW,GK,MF,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err
46,60c07b31,24,2.1,5000000,1,0,0,0,1.9,1.9,1.9,0.0,0.0,0.48,3.33,14.3,2.86,9.05,3.81,42.1,8.57,0.48,0.0,0.95,0.48,0.0,0.48,0.48,2.38,5.71,0.0
47,6a2b9aee,18,0.4,3500000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,15.0,2.5,16.7,0.0,7.5,7.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
48,a8567629,20,4.6,10000000,1,0,0,0,1.74,0.65,0.87,0.65,0.22,0.43,1.3,33.3,0.87,12.83,2.83,22.0,5.87,4.78,2.17,1.96,0.0,0.0,1.96,1.3,3.04,3.7,0.22
49,7c3ed041,21,2.8,8000000,1,0,0,0,1.79,1.79,1.07,0.71,0.0,0.36,1.43,25.0,1.07,10.36,4.29,41.4,7.14,3.21,0.0,0.71,0.36,0.0,0.36,1.43,3.21,1.79,0.0
50,ed33f42d,21,0.1,2000000,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
51,6928979a,23,5.9,65000000,0,0,0,1,2.71,2.03,0.68,1.53,0.51,0.68,2.54,26.7,1.86,16.95,5.08,30.0,4.75,9.66,2.54,1.69,0.17,0.0,1.53,0.68,3.39,0.0,0.0
52,a4e16ab4,20,0.7,5000000,0,0,0,1,1.43,0.0,0.0,1.43,0.0,1.43,4.29,33.3,2.86,30.0,4.29,14.3,7.14,21.43,1.43,2.86,0.0,0.0,2.86,0.0,1.43,2.86,0.0
53,8e7f49d3,26,5.5,15000000,0,0,0,1,2.55,2.0,2.0,0.36,0.18,0.73,2.55,28.6,1.82,21.27,6.55,30.8,12.73,7.09,1.45,3.09,0.73,0.0,2.36,1.27,3.82,1.64,0.0
54,75b86fb3,21,4.6,60000000,1,0,0,0,0.87,0.43,0.43,0.43,0.0,0.22,0.87,25.0,0.65,8.7,3.26,37.5,3.48,3.7,1.52,0.43,0.0,0.0,0.43,0.43,1.3,1.74,0.0
55,c432ba7d,20,0.4,700000,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,2.5,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,50dc94ce,23,3.1,30000000,0,1,0,1,2.58,2.26,0.32,0.65,1.61,0.97,1.29,75.0,0.32,14.84,5.16,34.8,4.19,5.48,5.16,0.32,0.32,0.0,0.0,0.97,3.55,0.0,0.0
57,57d88cf9,17,7.6,55000000,0,0,0,1,3.29,1.97,1.32,1.18,0.79,1.32,2.76,47.6,1.45,23.82,6.05,25.4,7.76,11.05,5.0,3.16,0.26,0.13,2.89,1.18,4.47,1.18,0.0
58,bef0a7ac,30,2.9,7000000,0,1,0,0,0.34,0.34,0.34,0.0,0.0,0.0,0.0,,0.0,8.97,3.45,38.5,0.34,3.1,5.52,1.03,0.0,0.0,1.03,0.34,0.69,0.69,0.0
59,fe888e39,22,0.2,4000000,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,5.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,378825c7,25,5.0,22000000,1,0,0,0,3.6,3.2,2.8,0.6,0.2,1.4,2.6,53.8,1.2,14.6,5.2,35.6,8.4,5.4,0.8,2.2,0.0,0.0,2.2,3.0,6.6,3.6,0.2
61,3b8674e6,23,5.2,35000000,0,0,0,1,3.46,2.5,1.35,2.12,0.0,1.54,2.69,57.1,1.15,18.65,5.96,32.0,4.42,10.96,3.27,1.92,0.0,0.0,1.92,1.54,5.0,1.15,0.19
62,70d74ece,32,9.3,25000000,0,1,0,0,0.75,0.65,0.11,0.54,0.11,0.32,0.43,75.0,0.11,13.66,3.87,28.3,2.04,5.16,6.45,0.54,0.11,0.0,0.43,0.43,1.18,0.22,0.0
63,b39bf63f,33,5.7,1200000,0,1,0,0,0.53,0.35,0.0,0.35,0.18,0.35,1.58,22.2,1.23,13.68,2.81,20.5,0.88,7.54,5.26,1.4,0.35,0.0,1.05,0.18,0.7,1.05,0.0
64,eb6e14be,22,5.2,10000000,0,1,0,1,0.58,0.38,0.19,0.19,0.19,0.0,1.15,0.0,1.15,16.15,5.77,35.7,2.12,9.04,5.0,0.38,0.0,0.0,0.38,0.19,0.77,0.38,0.0
65,ee93c1a9,26,1.7,15000000,1,0,0,1,1.18,1.18,0.59,0.0,0.59,0.59,0.59,100.0,0.0,7.65,1.76,23.1,2.35,2.35,2.94,1.18,0.59,0.0,0.59,1.18,2.35,1.18,0.0
66,3cdfc63e,27,6.0,2000000,1,0,0,0,1.67,1.0,0.83,0.67,0.17,0.83,1.5,55.6,0.67,7.5,2.0,26.7,4.83,1.83,0.83,1.5,0.67,0.0,0.83,1.17,2.83,4.33,0.0
67,691bef82,30,4.6,15000000,1,0,0,1,2.39,1.52,0.87,1.52,0.0,0.65,1.3,50.0,0.65,13.7,5.43,39.7,5.0,7.83,0.87,1.52,0.43,0.0,1.09,1.09,3.48,4.13,0.0
68,2db2fd7b,31,5.8,8500000,1,0,0,0,2.41,1.03,1.55,0.69,0.17,1.21,1.9,63.6,0.69,11.21,4.14,36.9,6.21,4.66,0.34,1.55,0.86,0.0,0.69,1.9,4.31,3.1,0.0
69,9c2b4382,26,0.9,1100000,0,1,0,1,1.11,1.11,0.0,1.11,0.0,0.0,0.0,,0.0,28.89,7.78,26.9,1.11,8.89,18.89,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0
70,c603ad6a,25,4.1,2200000,1,0,0,0,2.2,1.71,1.22,0.24,0.73,0.49,1.22,40.0,0.73,16.1,4.15,25.8,8.54,5.61,1.95,3.41,0.98,0.0,2.44,1.95,4.15,2.68,0.0
71,7713c72a,21,6.0,3000000,1,0,0,0,1.5,1.0,1.17,0.33,0.0,0.83,1.67,50.0,0.83,7.67,2.33,30.4,5.5,1.67,0.5,2.67,1.33,0.0,1.33,0.67,2.17,6.5,0.17
72,52ec54d0,33,5.5,8000000,1,0,0,0,0.55,0.36,0.18,0.36,0.0,0.18,0.73,25.0,0.55,4.55,1.64,36.0,2.36,2.0,0.18,1.09,0.55,0.0,0.55,0.73,1.27,1.82,0.0
73,2cb77ec6,25,2.9,1000000,1,0,0,0,1.03,1.03,1.03,0.0,0.0,0.34,1.03,33.3,0.69,8.62,3.1,36.0,3.1,4.14,1.38,2.41,1.03,0.34,1.38,0.69,1.72,1.38,0.0
74,1c07b06e,27,4.6,5000000,0,0,0,1,1.52,0.87,0.22,0.87,0.43,1.09,3.04,35.7,1.96,15.87,5.65,35.6,4.13,7.61,4.13,2.39,0.22,0.0,2.17,2.39,3.91,0.43,0.22
75,f6798fc3,29,5.0,18000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,20e73fac,26,4.1,15000000,0,0,0,1,1.71,0.98,1.22,0.49,0.0,0.73,2.93,25.0,2.2,16.1,4.88,30.3,4.15,8.05,3.9,2.44,0.49,0.24,1.95,0.49,2.2,1.71,0.0
77,1e064bfb,32,1.0,1000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,fd771f95,29,2.6,9000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.69,5.38,42.4,0.0,2.31,10.38,1.15,0.38,0.0,0.77,0.38,0.38,0.38,0.0
79,a167537f,24,2.4,20000000,0,0,0,1,1.67,0.83,0.42,0.83,0.42,0.83,1.25,66.7,0.42,24.58,6.67,27.1,5.42,11.25,7.92,0.42,0.0,0.0,0.42,0.83,2.5,1.25,0.0
80,4c184730,18,0.5,7500000,0,1,0,0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,8.0,2.0,25.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
81,33b8d077,27,4.1,40000000,0,0,0,1,2.44,2.44,0.49,1.71,0.24,0.98,2.44,40.0,1.46,13.17,5.61,42.6,3.41,6.83,2.93,1.95,0.73,0.0,1.22,0.24,2.68,0.0,0.0
82,5caa62a7,25,0.7,5000000,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.86,1.43,11.1,4.29,8.57,0.0,2.86,0.0,0.0,2.86,0.0,0.0,0.0,0.0
83,e40d028b,42,1.0,1000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,9d12e142,29,4.0,4000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,eb2b33aa,26,4.0,5000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,100.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,5ab0ea87,32,3.7,9000000,0,0,0,1,2.97,2.7,1.08,0.81,1.08,1.08,3.24,33.3,2.16,15.68,5.95,37.9,3.78,6.76,5.14,0.81,0.27,0.0,0.54,0.81,3.78,0.0,0.0
87,b8814868,27,3.8,5000000,0,0,0,1,3.16,1.32,1.58,1.32,0.26,1.32,3.16,41.7,1.84,18.42,2.89,15.7,5.0,10.79,2.63,1.84,0.0,0.0,1.84,0.53,3.68,0.53,0.0
88,148e136f,30,2.8,9000000,0,1,0,1,1.43,1.07,0.36,0.71,0.36,0.0,2.5,0.0,2.5,16.07,2.5,15.6,5.0,6.79,4.29,1.07,0.36,0.0,0.71,0.0,1.43,0.0,0.0
89,038aa94a,31,0.3,1300000,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,6.67,3.33,0.0,3.33,0.0,0.0,10.0,0.0
90,93b891d1,31,1.5,4000000,0,1,0,1,0.67,0.0,0.67,0.0,0.0,0.67,0.67,100.0,0.0,6.67,1.33,20.0,1.33,2.0,3.33,0.0,0.0,0.0,0.0,1.33,2.0,0.0,0.0
91,928a4a61,20,3.6,5000000,0,0,0,1,2.5,1.94,0.56,1.67,0.28,1.67,3.33,50.0,1.67,15.56,5.83,37.5,3.61,9.44,2.5,2.78,0.56,0.0,2.22,0.83,3.33,1.39,0.28
92,ac7e640b,26,0.1,5000000,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
93,94f8d10c,23,4.0,25000000,1,0,0,0,0.75,0.75,0.25,0.5,0.0,0.0,0.75,0.0,0.75,5.75,2.25,39.1,1.75,3.5,0.5,1.75,1.0,0.0,0.75,0.5,1.25,3.5,0.0
94,489e80e3,20,4.6,10000000,0,0,0,1,4.13,3.04,1.09,2.61,0.43,0.87,3.48,25.0,2.61,23.26,8.26,35.5,7.17,13.91,2.17,3.04,0.0,0.0,3.04,1.09,5.22,0.65,0.0
95,13ea2544,23,3.2,1500000,0,0,0,1,2.19,0.94,0.62,1.25,0.31,0.62,2.81,22.2,2.19,17.81,3.44,19.3,4.69,10.0,3.12,0.62,0.0,0.0,0.62,0.94,3.12,0.0,0.0
96,7b9c2d84,17,3.6,55000000,0,0,0,1,1.94,1.39,0.56,0.56,0.83,0.28,2.22,12.5,1.94,15.56,3.89,25.0,3.33,10.0,2.22,1.67,0.56,0.0,1.11,0.83,2.78,0.28,0.0
97,873619c6,19,0.1,2300000,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,a65ce836,26,5.2,26000000,1,0,0,1,2.12,2.12,1.15,0.77,0.19,0.19,1.35,14.3,1.15,11.73,4.23,36.1,5.38,5.58,0.77,1.73,0.96,0.0,0.77,1.54,3.65,1.73,0.0
99,bd6351cd,26,6.7,55000000,1,0,0,0,2.84,1.94,1.19,1.34,0.3,1.04,2.54,41.2,1.49,11.49,4.18,36.4,3.13,5.97,2.39,1.64,0.15,0.0,1.49,2.39,5.22,1.64,0.0
100,b4a014b1,27,8.0,45000000,1,0,0,0,0.88,0.38,0.5,0.25,0.12,0.38,0.75,50.0,0.38,8.38,3.62,43.3,4.12,3.5,0.75,2.0,0.75,0.12,1.25,1.12,2.0,4.62,0.12
101,de39485a,26,4.2,40000000,1,0,0,1,1.9,1.43,1.19,0.0,0.71,0.71,1.19,60.0,0.48,13.81,5.48,39.7,4.05,5.0,4.76,0.48,0.0,0.0,0.48,0.71,2.62,1.19,0.0
102,4958bfb2,28,1.8,30000000,1,0,0,0,1.11,0.0,0.0,0.0,1.11,1.11,2.22,50.0,1.11,10.56,1.67,15.8,2.22,3.89,4.44,2.78,0.0,0.0,2.78,1.11,2.22,0.56,0.0
103,4d224fe8,28,9.2,70000000,0,0,0,1,3.04,1.85,1.41,1.41,0.22,0.87,3.48,25.0,2.61,18.26,6.74,36.9,8.37,7.72,2.17,2.72,0.33,0.0,2.39,1.74,4.78,1.96,0.0
104,ba3d3bea,25,1.0,2500000,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,14.0,5.0,35.7,5.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
105,527f063d,33,2.3,6000000,0,1,0,0,0.87,0.43,0.0,0.0,0.87,0.43,1.3,33.3,0.87,20.87,5.65,27.1,0.43,6.52,13.91,0.87,0.0,0.0,0.87,0.0,0.87,0.0,0.0
106,10fe831e,23,5.0,2500000,1,0,0,0,1.4,0.8,0.8,0.6,0.0,0.8,1.6,50.0,0.8,7.8,3.0,38.5,3.8,3.4,0.6,2.2,0.4,0.2,1.8,2.0,3.4,9.6,0.2
107,5b54bf3b,30,1.3,5000000,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77,8.46,1.54,18.2,0.0,3.85,4.62,0.77,0.0,0.0,0.77,1.54,1.54,0.77,0.0
108,15975a3c,27,3.2,2500000,1,0,0,0,0.31,0.0,0.0,0.31,0.0,0.31,0.94,33.3,0.62,8.12,2.5,30.8,3.44,2.5,2.19,3.12,1.25,0.0,1.88,0.31,0.62,3.44,0.31
109,e85fb9b8,35,1.6,1500000,1,0,0,0,1.25,0.62,1.25,0.0,0.0,0.62,1.25,50.0,0.62,5.0,1.25,25.0,1.88,3.12,0.0,0.0,0.0,0.0,0.0,0.62,1.88,2.5,0.0
110,b0f7e36c,22,6.1,60000000,0,1,0,1,1.64,0.82,0.33,0.82,0.49,0.49,1.97,25.0,1.48,12.3,2.79,22.7,2.3,4.92,5.08,1.31,0.16,0.0,1.15,0.66,2.3,0.16,0.0
111,d2424d1b,23,8.6,45000000,1,0,0,0,2.21,1.51,1.16,0.7,0.35,0.7,1.86,37.5,1.16,13.95,4.42,31.7,7.09,5.23,1.63,3.02,0.12,0.0,2.91,1.63,3.84,2.79,0.12
112,1cb49278,24,6.6,30000000,1,0,0,0,0.45,0.3,0.15,0.3,0.0,0.15,0.91,16.7,0.76,8.03,2.42,30.2,3.94,3.33,0.76,1.36,0.76,0.0,0.61,1.67,2.12,3.64,0.0
