Player,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err
30f5ffa9,1.33,1.33,1.0,0.33,0.0,0.33,1.33,25.0,1.0,7.67,4.0,52.2,4.67,2.67,0.33,1.0,0.67,0.0,0.33,1.33,2.67,1.67,0.0
defb905a,1.56,1.33,1.11,0.44,0.0,0.22,1.33,16.7,1.11,7.33,2.22,30.3,3.33,3.56,0.44,2.0,0.67,0.0,1.33,1.11,2.67,4.67,0.0
76d5857d,1.2,0.4,0.8,0.2,0.2,0.2,0.6,33.3,0.4,7.4,1.8,24.3,4.0,2.8,0.6,2.2,0.8,0.0,1.4,1.2,2.4,2.8,0.0
cbbfa2e7,0.91,0.91,0.45,0.0,0.45,0.0,0.45,0.0,0.45,14.55,4.09,28.1,1.82,7.27,5.45,1.36,0.45,0.0,0.91,1.36,2.27,0.45,0.0
2ccd89a3,2.0,1.71,0.29,1.43,0.29,0.57,0.86,66.7,0.29,12.29,3.14,25.6,3.14,7.14,2.0,0.29,0.0,0.0,0.29,0.86,2.86,1.14,0.0
886f9aac,1.22,0.98,0.73,0.24,0.24,0.24,1.46,16.7,1.22,11.22,4.15,37.0,5.37,3.66,2.2,2.2,0.0,0.0,2.2,0.98,2.2,0.24,0.0
c1febb46,1.35,0.96,0.77,0.19,0.38,0.38,0.77,50.0,0.38,20.77,4.04,19.4,5.38,11.92,3.46,0.96,0.0,0.0,0.96,1.92,3.27,0.19,0.0
420c18a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28f66c2e,0.56,0.56,0.56,0.0,0.0,0.56,1.67,33.3,1.11,9.44,2.78,29.4,3.33,4.44,1.67,2.22,0.56,0.0,1.67,0.56,1.11,3.33,0.0
2fd337af,1.18,0.59,0.59,0.59,0.0,0.0,0.0,,0.0,9.41,4.71,50.0,5.29,4.12,0.0,2.35,1.76,0.0,0.59,0.59,1.76,10.0,0.0
7a435eb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,5.0,25.0,0.0,7.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
8e8f40e0,5.0,2.5,2.5,2.5,0.0,5.0,12.5,40.0,7.5,37.5,7.5,20.0,20.0,15.0,2.5,5.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0
ac4003af,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.8,0.2,25.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
27d902c8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0
42130443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee3519f5,1.25,0.94,0.62,0.31,0.31,0.31,1.25,25.0,0.94,10.0,3.12,31.3,5.62,3.12,1.25,0.62,0.31,0.0,0.31,1.25,2.5,3.44,0.0
b400bde0,0.83,0.83,0.0,0.42,0.42,0.28,0.83,33.3,0.56,9.44,2.22,23.5,0.42,4.31,4.72,0.56,0.0,0.0,0.56,0.14,0.97,0.0,0.0
3b1ed320,5.0,5.0,5.0,0.0,0.0,5.0,5.0,100.0,0.0,15.0,5.0,33.3,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
7cd6badb,1.86,1.19,1.02,0.68,0.17,0.34,2.2,15.4,1.86,23.22,4.75,20.4,5.08,12.03,6.1,1.19,0.0,0.0,1.19,1.02,2.88,0.34,0.0
5eecec3d,0.45,0.45,0.22,0.11,0.11,0.11,0.22,50.0,0.11,5.84,1.46,25.0,2.13,2.92,0.79,1.46,1.12,0.0,0.34,1.01,1.46,3.37,0.11
339fe0e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ef2e5e1a,3.33,0.0,3.33,0.0,0.0,3.33,3.33,100.0,0.0,23.33,3.33,14.3,10.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0
a6154613,0.2,0.2,0.0,0.2,0.0,0.0,0.0,,0.0,7.65,1.76,23.1,0.39,3.33,3.92,0.59,0.39,0.0,0.2,0.0,0.2,1.18,0.0
