Player,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
4c14af32,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
44eb9093,0.0,0.29,0.0,0.0,0.29,0.0,0.0,,11.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
1ec7e1c5,0.0,0.34,0.17,50.0,0.35,0.17,0.0,0.0,8.0,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02
29c02c9f,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
db4ed67b,0.19,2.22,0.93,41.7,2.21,0.92,0.08,0.2,21.9,0.0,0.0,0.0,0.13,0.13,0.06,0.06,0.06
ca45605e,0.0,3.91,1.3,33.3,3.95,1.32,0.0,0.0,14.2,0.0,0.0,0.0,0.61,0.61,0.16,-0.61,-0.61
94b2001f,0.0,0.95,0.16,16.7,0.95,0.16,0.0,0.0,24.1,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
96e0490d,0.53,2.63,1.05,40.0,2.69,1.08,0.2,0.5,9.1,0.0,0.0,0.0,0.26,0.26,0.11,0.26,0.26
d781d855,0.0,0.56,0.0,0.0,0.56,0.0,0.0,,23.7,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
e46012d4,0.41,2.84,0.95,33.3,2.84,0.95,0.14,0.43,20.2,0.27,0.0,0.0,0.26,0.26,0.09,0.15,0.15
2ef7c612,0.39,1.96,0.59,30.0,1.97,0.59,0.2,0.67,11.5,0.0,0.0,0.0,0.45,0.45,0.25,-0.06,-0.06
4b77bb89,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
0be95d34,0.0,0.67,0.0,0.0,0.68,0.0,0.0,,19.1,0.0,0.0,0.0,0.07,0.07,0.06,-0.07,-0.07
fe641c1a,0.0,0.62,0.21,33.3,0.63,0.21,0.0,0.0,14.9,0.0,0.0,0.0,0.06,0.06,0.08,-0.06,-0.06
6b6cbca4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
e7986081,0.0,2.0,0.0,0.0,1.91,0.0,0.0,,5.8,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2
b19db005,0.71,4.76,2.62,55.0,4.71,2.59,0.1,0.18,18.6,0.0,0.24,0.24,0.71,0.52,0.11,0.0,-0.05
e3cceee6,0.0,0.45,0.23,50.0,0.45,0.23,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
